關鍵字,回應
Aropec潛水衝浪溯溪游泳三鐵戶外運動(高雄店),"介紹：\n
金鴻股份有限公司(Aropec Sports Corp.)從西元1963年成立迄今已經有54年的歷史，仍然堅持在臺灣這塊土地上繼續奮鬥、努力不懈。從產品的市場調查開始，研發、設計、生產製造、品質管制，到進出口服務、國際行銷、國內銷售及運動行銷活動的推動，均受到嚴格而且專業的管控，擁有2座廠房及一個出口部門，主要扮演著自我品牌製造商和品牌商的角色。我們是臺灣潛水及水上運動的領導廠商及品牌，並且製造極為優良的產品行銷到全球86個國家及地區，在國際市場上擁有極為良好的商譽。"
Orange Marine Diving Pro Shop,"介紹：\n
提供販售潛水裝備等服務。"
羅浮潛水中心,"介紹：\n
各級潛水訓練課程、教練發展課程、潛水器材出租、出售、潛水旅遊。"
多樂潛水,"介紹：\n
潛水旅遊上,在安全的前提下吃的好,睡的飽,玩的盡興是我們的目標,因此我們慎選配合的潛水店家,也嚴格控管參與人數及能力,以期能提高旅遊行程的安全與品質。\n
提供專業的潛水考證課程、販售潛水裝備等服務。"
蓬萊潛水,"介紹：\n
主要服務內容包含潛水工程、PADI潛水「自由、水肺」、國內外潛水旅遊、裝備販賣維修。"
日大潛水RIDA Diving (全台最大潛水用品專賣店）,"介紹：\n
日大潛水秉持著三十年專業銷售之經驗，提供了水肺潛水、自由潛水、游泳浮潛用具、救生用品 戲水相關之器材用品。長年深耕台灣市場並深獲合作廠商及消費者之滿意度肯定公司成員秉持著對海洋的熱愛以及對商品品質的要求各項專業級潛水裝備皆由內部成員親自檢驗與實際操作使用確保消費者購買到專業的品質以外更是得到專業的建議。歡迎跟我們ㄧ樣熱愛海洋活動的朋友們。"
Scuba YD 專業潛水用品店-旗艦店,"介紹：\n
手電筒的好壞，左右了你的照片影像、美麗回憶、水中視線，怎麼能輕忽這些重要的事呢??\n
我們愛好潛水、喜歡海洋、更熱愛交朋友，有些好物不得不拿出來分享給各位愛玩潛水的你們~~\n
我們專營水中攝影燈及潛水手電筒，不定期會位粉絲推出好康活動喲~~~"
放火燒潛水裝備Molchanovs Double K Taiwan,"介紹：\n
提供販售防寒衣、潛水電腦手錶、長蛙以及其它多種類的潛水相關商品。"
DECATHLON 迪卡儂 高雄亞灣店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
DECATHLON 迪卡儂 高雄鳳山店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
DECATHLON 迪卡儂 高雄楠梓店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
台灣潛水墾丁店,"介紹：\n
台灣潛水宗旨為「Bring Ocean Into Your Life」，藉由潛水，讓海洋進入大家的生活。讓更多人愛上大海而成為海人，跟著我們一起保護這片大海。親海、知海、愛海，是上天賦予海島國家重要的使命。無論是提供專業的潛水相關課程，海洋商品的販售，保育活動的推廣…都希望能真正的將海洋融入你我的生活。"
墾丁舒服潛水,"介紹：\n
墾丁舒服潛水位於恆春鎮南灣路上，店家提供PADI 潛水課程、探索水肺潛水、水肺潛水導遊服務、潛水裝備租售、墾丁導遊服務，歡迎大家一起來玩喔。"
DECATHLON 迪卡儂 屏東店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
日日選品Daily.day,"介紹：\n
提供販售潛水裝備、出租潛水裝備、Gopro等服務。"
PADI澎湖興仁潛水訓練中心,"介紹：\n
澎湖海岸線鎖港、烏崁、山水、井垵、風櫃、青灣..沿途海岸礁岩地形，珊瑚覆蓋及怪石林立，櫛比嶙峋，形成了天然絕佳的潛水教學与休閒的大自然教室。\n
體驗澎湖海底自然風華之美，你心動了嗎？趕快計畫來一趟澎湖小旅行吧！\n
岸潛水肺複習三天(含食宿預約有優惠價)參觀海底玄武岩落差約8M及奇特的團塊微孔珊瑚.體型大小約七部小貨車.相當壯觀，看過的人都說讚PADI澎湖興仁潛水課程、訓練、食宿、導覽全包一次搞定，預約安排屬於自己的海洋旅行，為繁忙的生活多添一些色彩。"
澎湖潛水會,"介紹：\n
提供販售、租借潛水裝備，會依照使用者的需求去介紹且價格優惠實在!!"
海咖潛水用品店,"介紹：\n
提供販售潛水裝備、出租潛水裝備等服務。"
HERTZ自由潛水,"介紹：\n
自潛與我密不可分，它給了我生活的方向、志同道合的朋友，在這條路不停學習，砥礪自己，慢慢得到許多經驗，期許能帶給學生更多東西。卸去繁重、竟下情緒，用屏息在無重力的世界探索珊瑚的斑斕、魚群的姿態。因為對自潛的熱忱，想讓更多人看到不一樣的世界。"
海嬉潛水店 Ocean Fun Diving Shop,"介紹：\n
與土地平行的世界\n
深，不見底\n
與海水相依的生物\n
密不可，分\n
我處在你之中遊戲\n
與海嬉戲\n
我在，海嬉"
鵬隆行 潛水SUP風浪板,"介紹：\n
提供販售潛水裝備、專業的課程等服務。"
slowdive 漫潛,"介紹：\n
陽光炙熱的午後時光\n
湛藍的海洋與水下的光線交相輝映使人著迷\n
波光粼粼下的自由\n
我們用一口氣去追隨\n
生活\n
在規則和不規則中取得平衡\n
slowdive\n
源自夏日蘭嶼\n
沒有太多的擔憂\n
只有未停的探索"
藏水自由潛水用品社,"介紹：\n
藏水一詞為台語潛水發音，將自由潛水形容為藏在水裡的運動，完美的解釋自由潛水員在水下那寧靜與自我挑戰的時刻。創立於2020，持續引進各大品牌蛙鞋提供租借與購買，讓消費者有多樣化的選擇。"
乖巧鯊潛水訓練中心,"介紹：\n
我們是一個結合了都市裡的潛水訓練中心與濱海潛水渡假村的休閒潛水機構，提供了涵蓋潛水教學、潛水旅遊、潛水渡假的全方位整體服務。隨時以絕對完美的活力提供您最完整的享受。我們要滿足您的不只是刻板的潛水學習與取照過程，而是所有關於休閒潛水最安全、最貼心、最直接的人文感受。"
海洋芒果 台中市政店,"介紹：\n
自己的裝備，自己選！\n
一直以來,潛水員們總是在尋找一個可以盡情挑選潛水裝備的地方, 一個可以沒有壓力的購物空間.在海洋芒果,我們把主導權交回潛水員手上, 一切由您來決定 !\n
我們提供最專業完整的潛水裝備,及相關用品!\n
在這裡,蛙鞋,面鏡,調節器,BCD,防寒衣,防曬衣,相機,電腦表,潛水配件,都能讓您可以盡情比較各種不同裝備的特色,特性.當然顏色外觀也是很重要的選擇因素,所以我們還會準備不同顏色的裝備供您選擇.\n
然而潛水裝備玲瑯滿目,總是很難備齊給潛水員們,不過我們會盡其所能的挑選我們覺得最值得的品牌,提供您各種品牌的特色及優點,讓您挑到您最喜歡的裝備衣物!如果您發現什麼好東西,也別忘了跟我們說喔～"
BMDivers-三川潛水用品-Diving gears,"介紹：\n
老闆很熱心且詳細地介紹所販售潛水裝備!!"
Water Pro 中港店,"介紹：\n
於2007年創立「Waterpro」香港水上用品品牌主要針對水上活動愛好者需求所設計與生產相關產品秉持著設計、品質、機能為目標製造成立網路商店,主要銷售至香港、美國與澳洲等國家。提供水上用品專門店(水肺潛水、自由潛水、浮潛、衝浪、游泳、滑水)等服務。"
Water Pro 台中總店,"介紹：\n
於2007年創立「Waterpro」香港水上用品品牌主要針對水上活動愛好者需求所設計與生產相關產品秉持著設計、品質、機能為目標製造成立網路商店,主要銷售至香港、美國與澳洲等國家。提供水上用品專門店(水肺潛水、自由潛水、浮潛、衝浪、游泳、滑水)等服務。"
昊洋水上運動用品,"介紹：\n
昊洋水上運動用品，專賣水母衣、運動泳衣、防寒衣及潛水/浮潛裝備(BCD、調節器、蛙鞋等)，我們擁有自己的生產工廠，引進最先進的四針六線拚縫機，可以來樣來圖定制、加工、批發，價格另議。P.magnolia 紫玉蘭水上運動用品亦為台灣AROPEC、SAEKODIVE及Problue三大品牌經銷商，購買的商品均得到原廠合法保障。"
碧海藍天國際潛水飛行聯盟,"介紹：\n
相當專業的潛水學校，提供潛水教學、證照取得以及潛水裝備販賣，並與廠商合作舉辦海內外的潛水主題旅遊。倘若您對潛水及飛行課程有任何疑問。歡迎洽詢。"
Taiwan Diving Monkey Dive Center 台灣潛水猴訓練中心&裝備用品公司,"介紹：\n
提供潛水知識,旅遊密技,裝備保養技巧給愛潛水的您。"
宇洋潛水Cosmos Ocean逢甲旗艦店,"介紹：\n
宇洋潛水COSMOS OCEAN希望以台中為基地，提供從台灣中部地區至全台，一個完整性的水域活動產品選擇與服務，含蓋潛水、浮潛、衝浪、溯溪、SUP等水域精品的選購及專業體驗活動。更以潛水為主軸，提供專業的PADI潛水各級考照教學服務，讓喜愛大海的你，有著專業安心舒適的享受。"
Aropec金鴻股份有限公司 潛水衝浪溯溪游泳三鐵(台中店),"介紹：\n
我們的品牌「AROPEC」主要是由「ARO」和「PEC」兩個字義組合而成，「ARO」來自「AERO」，指的是天空、高空，衍申為神祇之意; 「PEC」則是協助、支持的意思，「AROPEC」即為「神祇助祐、上天保佑」的意思。俗話說：「天助自助者」，我們希望透過運動及各種休閒活動，讓人們可以建立一種積極主動的人生態度，因而帶來更健康、更快樂、更美好的生活。\n
本公司秉持著「唯有顧客賺錢，我們才會賺錢」的經營理念，嚴格品質管控，唯有確保產品品質達到最高標準，才可能滿足顧客的每一項需求，達到永續經營的目的。"
JIT CMAS 就愛台灣潛水,"介紹：\n
J.I.T就愛台灣潛水企業社，CMAS中華民國水中運動協會團體會員。主要項目為休閒水肺潛水與自由潛水運動的推廣。除此之外，也參與救生、游泳、蹼泳、SUP、水上摩托車、風浪板、先鋒舟等運動。"
中性浮力社,"介紹：\n
提供潛水知識,潛水裝備,裝備保養技巧,國內外潛旅給愛潛水的您。"
Divercity竹科戶外人,"介紹：\n
RDOUTER竹科戶外人，一群熱愛大自然、喜愛各種戶外運動的工程師，從游泳、衝浪、跑步到潛水，歡迎找我們一起吃喝玩樂。\n
提供水肺潛水、自由潛水的裝備以及專業的教學。"
長隆潛水竹北店,"介紹：\n
提供專業的潛水教學、體驗潛水、浮潛、潛水旅遊、潛水裝備出租等服務。"
速捷戶外露營用品生活館,"介紹：\n
速捷戶外登山露營生活館專營登山、露營、浮潛溯溪用品、旅遊服飾等各種戶外運動裝備與專業服飾, 提供專業的商品諮詢與實在的價格。"
藍灣潛水訓練中心,"介紹：\n
藍灣潛水訓練中心已成立近30年，是全國最方便也最優值的學習環境，我們有自己25M長2.5M深的專業潛水訓練池，讓你不用跑東跑西的到別處借的游泳池上課，我們也有自己的停車場，讓您上課之餘不用擔心停車拖吊的問題。我們的教練群更是和善、有耐心，就算再怕水的人也可以慢慢的學會潛水，讓你在海洋實習時，能熟習潛水的所有技能。"
亞伯斯科技潛水有限公司,"介紹：\n
想要了解更多關於潛水裝備的不同之處，請聯系SDI教練或潛店，獲取更加詳細的相關信息，在選擇潛水裝備的過程中做出適合自身，適合潛水環境的選擇。"
新竹潛水蟲 EOT 潛水訓練中心,"介紹：\n
一起加入水下的探索，您心理是否有想潛水的衝動和慾望。\n
重新找回擁抱陽光大海的靈魂，拋去生活塵囂喘不過氣的壓力。\n
最完美釋放，盡在新竹潛水蟲潛水訓練中心。Enter the Ocean Together!"
亞潮潛水中心,"介紹：\n
亞潮潛水於1988年成立至今，教練團成員近30人，每期皆由一位主持教練開班授課，各組教練團支援，為國內制度、規模完善的潛水中心。\n
我們採潛水學校模式訓練，潛水中心就像學校，教練們就是老師；所以在訓練過程中，有潛水相關問題可詢問教練，而個人財務如繳交學費、租借器材等，則直接向潛水中心洽詢辦理。"
台灣潛水Taipei,"介紹：\n
台灣潛水1980年以工程潛水起家，後漸漸轉型為休閒潛水。\n
台灣潛水宗旨為「Bring Ocean Into Your Life」，藉由潛水，讓海洋進入大家的生活。讓更多人愛上大海而成為海人，跟著我們一起保護這片大海。\n
親海、知海、愛海，是上天賦予海島國家重要的使命。無論是提供專業的潛水相關課程，海洋商品的販售，保育活動的推廣…都希望能真正的將海洋融入你我的生活。"
海洋芒果潛水裝備專賣店 大安店,"介紹：\n
一直以來,潛水員們總是在尋找一個可以盡情挑選潛水裝備的地方,一個可以沒有壓力的購物空間.在海洋芒果,我們把主導權交回潛水員手上,一切由您來決定!\n
我們提供最專業完整的潛水裝備,及相關用品!\n
在這裡, 蛙鞋,面鏡,調節器, BCD,防寒衣,防曬衣,相機,電腦表,潛水配件,都能讓您可以盡情比較各種不同裝備的特色,特性.當然顏色外觀也是很重要的選擇因素, 所以我們還會準備不同顏色的裝備供您選擇."
Ladiyo Store 自由潛水裝備店,"介紹：\n
不論你是一個人來潛水或情侶想拍合照留下深刻畫面，我們在小琉球都有專業的導潛及戒護可以預約安排，並在旁紀錄這美好的瞬間。\n
小琉球經營多年住宿在地老闆翔翔及Ladiyo紅牌阿麒都是潛水美照製造機！你只需要放鬆每一潛，好好欣賞海裡風景，歡迎你來小琉球創造屬於你的陸上海裡回憶。"
Water Pro 台北總店,"介紹：\n
提供販售水上運動用品專賣店(水肺潛水、自由潛水、浮潛、衝浪、游泳、滑水)等服務。"
muii x 男子漢的浪 台北夏季直營店,"介紹：\n
『男子漢的浪選物店』\n
TRUDIVE台灣總代理\n
Okinawa Blessing台灣總代理\n
Lobster Weight台灣總經銷\n
2bfree equipment"
WATER CROSS 水越企業,"介紹：\n
「WATERCROSS-意旨拉近人與海洋的距離」\n
始於對海洋的熱愛，作為一群熱愛水上運動的愛好者。無論你是專業運動員還是初學者，希望每個人都能享受到水上運動的樂趣。我們深深熱愛著美麗而神祕的大自然，並感受到人與海洋之間的連結。\n
我們不僅關注產品品質，更注重產品設計與創新。WATERCROSS的產品充滿細節設計，讓你在水上運動中感受更舒適、自在，大海裡衝浪、潛水亦或是在湖泊中漂流，WATERCROSS的產品都提供最佳使用體驗。"
Water Pro 南西店,"介紹：\n
提供販售水上運動用品專賣店(水肺潛水、自由潛水、浮潛、衝浪、游泳、滑水)等服務。"
High Bar Scuba 海8潛水中心,"介紹：\n
海洋面積佔了地球的71%，神秘又迷人，想從經過大海的路人變成進入大海的專業潛水員嗎？在High Bar Scuba，超過20年的潛水教學經驗，帶你探索18米到100米的海洋世界。我們勵志成為台灣最專業且全方位的都市潛店，在這裡，海8的使命是Set the bar high，讓你愛不釋手。讓你心中的海洋，走進城市裡。"
台北樂潛 潛水中心,"介紹：\n
提供專業的潛水證照課程、潛水旅遊規劃、潛水裝備暢貨中心等服務。"
海世界貿易有限公司,"介紹：\n
台北海世界潛水器材有限公司成立於1988年，迄今在潛水製造業已有二十餘年的歷史，專營各種潛水相關零配件、輕重裝、防寒衣(成衣、量身訂製)、其他品牌優惠價代訂。\n
公司始終朝著研發創新，設計出適合各大洲不同身材潛水員所需的潛水器材，並且隨著潮流及環境不斷的變化，而我司也不間斷思考，檢討、改良、創新來製造新產品。\n
公司自成立以來便以自設工廠、企劃構思、研發、設計、開模生產、射出成形、組裝、測試、包裝、批發、銷售一貫作業，以其降低成本，回饋潛水愛好者。"
鬥陣潛水,"介紹：\n
因為投入運動教育，從一位專業體適能、游泳教練，更晉升為水域全能專家，一路教導無數學子從運動中學習健康，讓學員享受水域休閒活動，開拓人生視野，進一步專業培訓更多種子，培養有興趣致力海洋運動的學子蛻變成長為教練。\n
期許並期待能讓更多人，藉由專業、安全、健康、正確的管道學習潛水活動；讓所有人能看見這顆美麗的藍色星球在水下精彩的樣貌；也推動讓更多環境保護的種子發芽，讓大家關注愛海愛地球，為下一代繼續努力，共同維護這絕美的海洋風景。"
藍色海,"介紹：\n
查無資料。"
潛水貨倉,"介紹：\n
2014年成立於台北南港，成為一家潛水裝備店。\n
國內外品牌應有盡有，提供你們最齊全的潛水裝備。\n
除了是潛水裝備店外，也是PADI系統的五星潛店與教練發展中心。\n
從最基礎的OpenWater到救援潛水員，也有固定安排培訓潛水長實習與潛水教練的課程。自潛的話，一樣從入門課程到教練課程都包辦哦！\n
很多人不知道的是，貨倉也有安排國內外潛水旅遊。跟一般的旅行不同，熟悉與瞭解當地狀況非常重要，合格的店家、資深的導潛不只讓整個旅程的品質大提升，安全係數也提高許多。與我們一起出遊，可同時擁有領隊資格的帶隊潛水教練，陪著大家開心出遊、安全回家。"
Aropec潛水衝浪溯溪游泳三鐵戶外運動(台北店),"介紹：\n
我們的品牌「 AROPEC 」主要是由「ARO」和「PEC」兩個字義組合而成，「ARO」來自「AERO」，指的是天空、高空，衍申為神祇之意；「PEC」則是協助、支持的意思，「AROPEC」即為「神祇助佑、上天保佑」的意思。俗話說：「天助自助者」，我們希望透過運動及各種休閒活動，讓人們可以建立一種積極主動的人生態度，因而帶來更健康、更快樂、更美好的生活。\n
本公司秉持著「唯有顧客賺錢，我們才會賺錢」的經營理念，嚴格品質管控，唯有確保產品品質達到最高標準，才可能滿足顧客的每一項需求，達到永續經營的目的。"
Scuba Warehouse Taiwan 專業潛水裝備店,"介紹：\n
Scuba Warehouse從新加坡開始創立，一路往亞洲區域發展至今來到台灣。\n
為潛水員而設立的專業潛水裝備店，除了品牌款式眾多貨源齊全您所需要的幾乎都應有盡有寬闊又舒適的店面空間，讓每位顧客都能輕鬆舒服的選購適合自己的裝備。雖然至今網路商店越來越多，對於實體店面難免有些影響，我們的信念與堅持就是購買潛水裝備都必須到現場試穿試戴才能買到適合自己的尺寸以及售後服務和保固的問題，所以Scuba Warehouse台灣在2020年誕生了。\n
在每一筆買賣的交易當中，我們除了給予專業知識，百分百的貼心一站式服務之外，也針對每位顧客的需求來介紹對的產品，該如何正確使用以及用完後如何清洗跟收藏，每個細節都會清楚解說讓您買得開心，潛得安心。"
SSO SPORTS潛水滑雪裝備店,"介紹：\n
提供販售潛水裝備、浮潛裝備、滑雪裝備、鐵人泳具等服務。"
iDiving 愛潛水,"介紹：\n
80人水肺自潛教練團，上課、活動教練人數高比例。\n
客製上課時間好安排，駐店SSI教練訓練官從初級到教練培訓都包含,每年冬季教練資格更新復訓一項都沒少。\n
各地潛水旅遊團不怕沒得玩，全年開設 33團各地潛水旅遊團。東北角、小琉球、墾丁、蘭嶼、綠島、澎湖，新手岸潛團，老手船潛iDiving帶你遊山玩水。"
海人選品,"介紹：\n
從陸的最低點，進入海的最高點。\n
關於下水這件事，每個人的原因不盡相同，有些人熱愛自我挑戰、有些人為飽覽陸地上難有的美景、有些人想留下動人的影像…。不論為何，水帶給我們一個靜謐空間，如同嬰兒時期於子宮羊水中的安全感；當我們內心得以平靜，更能夠與大海相處，也更懂得尊重自然。\n
海人選品是一個網路商店，集結了歐、美、日本等國的自由潛水/戶外品牌，除常態性的銷售與服務，也透過各種實體活動與愛海的人交流，如自潛競賽、國際選手分享會、紀錄片放映會…等，我們期待成為一個資訊傳遞的平台，並創造更多跨領域合作，將自由潛水運動/海洋永續等議題帶入人們的日常。"
越琳浮潛泳具品,"介紹：\n
查無資料。"
IDiver海怪水下－潛水概念店(自由潛水專賣店),"介紹：\n
全台灣最大自由潛水裝備代理商。\n
「IDiver」是海怪水下娛樂有限公司旗下的網路平台，專營潛水裝備銷售，我們致力提供潛水活動產業相關的全方位服務。\n
提供潛水裝備販售、潛水課程教學、潛水深度旅遊等服務。"
891新莊潛水家,"介紹：\n
潛水新手的天堂，位於新北市新莊區中正路上的891新莊潛水家，為所有潛水玩家尋找各式各樣高CP值的潛水用品，不論是裝備出租、線上購物或是裝備介紹等知識，我們都提供非常專業的服務。\n
除了潛水用品販售之外，本店亦提供專業潛水證照考試教學的課程，由專業教練駐店指導服務，針對學生不同的程度與基礎，規劃不一樣的課程，讓您倘佯大海自由自在，除了用品販售、潛水教學，我們還有用品出租的服務喔!若是初學者，對於添購裝備有疑慮，也可以先從租借用品開始學起，讓您沒有負擔也能學會潛水的樂趣。"
龍潛國際有限公司 LOONG DIVE INTERNATIONAL,"介紹：\n
台灣，一個依山傍海的亞熱帶島嶼，海岸線總長度達一千六百多公里，擁有得天獨厚的地環境與豐渥的海洋資源。近年，由於潛水裝備不斷研發創新、週休二日以及休閒意識的抬頭，海洋環境所能提供人們觀光休閒活動也相對增加，參與潛水活動的人數更因而急遽上升。因此，龍潛國際於2012年發表之自營品牌「LOONG DIVE」，首重安全潛水與資源維護。除了產品研發與製造過程嚴格品管之外，更提供完善的保養維修服務、藉由不斷創新、研發、引進各類安全相關產品，並參與潛水安全教育與永續資源之活動與宣導。"
Dive Express(DE工作室)-請先預約,"介紹：\n
提供潛水裝備銷售服務、PADI各類潛水課程等服務。"
Water Pro 宏匯百貨店,"介紹：\n
提供販售水上運動用品專賣店(水肺潛水、自由潛水、浮潛、衝浪、游泳、滑水)等服務。"
海玩子潛水訓練中心 Ocean Player Diving Center,"介紹：\n
提供潛水裝備銷售服務、專業的潛水課程等服務。"
悠潛潛水,"介紹：\n
悠潛潛水為全台最大裝備暢貨中心，專門提供物美價廉的潛水商品，也提供全套的潛水訓練，除此之外我們也會定期辦理國內外潛水旅遊!!!\n
歡迎喜歡潛水的朋友們來參觀選購，以及參與我們的潛水課程，讓我們一起潛遍全世界最美的海域~~~~~"
