店家名,店家名(英),地區,縣市,地址,緯度,經度,連結,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議
LAZY HOUSE_廢在這背包客棧,LAZY HOUSE,東部地區,花蓮縣,970花蓮縣花蓮市富安路49號,23.99325986,121.5984247,https://www.facebook.com/LazyHouse.Hualien/?locale=zh_TW,00:00,23:59,15:00,21:00,00:00,11:00,花蓮火車站步行20分鐘即可抵達 LAZY HOUSE_廢在這背包客棧（車程約5分鐘）
花蓮青年旅館．北吉光輕旅,Bayhouse Comfortel Hualien Hostel,東部地區,花蓮縣,970花蓮縣花蓮市中山路601巷1弄19號,23.9885772,121.5992655,http://hualien.bayhouse.tw/,12:30,21:00,16:00,21:00,null,11:30,花蓮火車站步行10分鐘即可抵達花蓮青年旅館．北吉光輕旅（車程約3分鐘）
Cozy House 小羊 房花蓮背包客棧,Cozy House Hualien Hostel,東部地區,花蓮縣,970花蓮縣花蓮市延平街148巷5號,23.98613762,121.5990068,https://www.cozyhousetw.com/m/index.html,09:30,21:00,15:00,21:00,null,11:00,"<搭乘火車到花蓮>
<步行>
1.出車站前站出口直行(路口阿美麻糬)右轉國聯一路直行
2.於中山路向左轉
3. 於商校街右轉
4. 於延平街148巷向左轉(路口麗格飯店)
100M即可到達Cozy house
<開車>
1.蘇花公路/台9線往花蓮市區方向
2.於中央路四段/新生橋向右轉
3. 於中山路向左轉
4. 於商校街向右轉
5. 於延平街148巷左轉
(路口有免費公有停車場可停車)
100M即可到達cozy house
<搭計程車來往市區.車站.夜市>
車資約100NT"
途中花蓮青年旅舍,On My Way Hualien Hostel,東部地區,花蓮縣,970花蓮縣花蓮市富吉路48號,23.9949444,121.5978308,https://www.onmywayhostel.com.tw/hostels,11:00,23:59,16:00,20:00,null,11:00,從花蓮火車站步行4分鐘即可抵達（車程約3分鐘）
花蓮阿羅國際青年旅舍,Hualien Holo Hostel Hotel,東部地區,花蓮縣,970花蓮縣花蓮市富吉路58-3號,23.99509654,121.5974422,https://www.facebook.com/hostelhotel.hualienholo/?locale=zh_TW,08:00,23:45,15:00,23:30,00:00,11:00,從花蓮火車站步行10分鐘即可抵達（車程約6分鐘）
山羊青旅民宿 ,GOAT HOSTEL,東部地區,花蓮縣,970花蓮縣花蓮市富裕十六街60號,23.99642226,121.5953298,https://www.facebook.com/people/GOAT-Hostel/100063926948220/,null,null,15:00,21:00,00:00,11:00,從花蓮火車站步行23分鐘即可抵達（車程約6分鐘）
花蓮小旅行迷你公寓背包客棧,Hualien Minivoyage Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯一路103號,23.99102317,121.6026214,https://www.minivoyage.com/,08:00,22:00,15:00,22:00,07:00,11:00,從花蓮火車站步行3分鐘即可抵達
旅充人文,Travel Charger Hostel ,東部地區,花蓮縣,970花蓮縣花蓮市富國路138號,23.98962801,121.5940523,https://www.facebook.com/TravelChargerHostel/?locale=zh_TW,10:00,19:00,15:00,19:00,09:00,11:00,"自行開車：
依地址定位導航即可抵達
大眾運輸：
•旅宿與鄰近交通點距離：
•花蓮機場，距離 7.4 公里；詳細時刻表與票價請至花蓮航空站查詢
•花蓮火車站，距離 0.9 公里；詳細時刻表與票價請至台灣鐵路管理局查詢
•羅東轉運站，距離 106 公里；詳細時刻表與票價請至首都客運、葛瑪蘭客運、大都會客運查詢
•花蓮客運站，距離 2.8 公里；詳細時刻表與票價請至花蓮客運查詢
•建議從花蓮火車站轉乘計程車，約 6 分鐘，約 120 元（時間與價格僅供參考）"
崧居文旅-挑高閣樓住宿,SONGE HOSING,東部地區,花蓮縣,970花蓮縣花蓮市國興二街142號,23.9890896,121.6013836,https://twstay.com/RWD2/index.aspx?BNB=songehousing,09:00,18:00,15:00,null,null,11:00,"1.花蓮市火車站（車程約3分鐘/步行約10分）
2.花蓮客運站（車程約3分鐘/步行約10分）"
仲青行旅 花蓮館,Light Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民十街11號,23.99440891,121.6038106,http://www.lighthostel.com/hualien.aspx,null,null,15:00,null,null,11:00,花蓮火車站步行，沿國聯四路往前走，在國興一街左轉，至國民十街時右轉即可到達，路程約五分鐘。
您好生活公寓民宿,NinHao Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國興二街91號,23.99019291,121.6026,https://www.facebook.com/HelloHouse2020/?paipv=0&eav=AfZMC7Yb0mwarPfq0W4CVqhPTB-NFGpAYOs0fP3Pj-YVc61TzEmMeOOvuIFj1iTOkr0&_rdr,00:00,23:59,15:00,null,null,11:00,從花蓮火車站步行3分鐘即可抵達
鳥窩•花蓮青年旅舍•花蓮背包客棧,Hualien Bird's House Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民五街5號,23.99057408,121.6025815,https://www.facebook.com/birdhousehostel/,00:00,23:59,15:00,23:30,01:00,11:00,從花蓮火車站步行4分鐘即可抵達
窩二樓小客棧,World Inn,東部地區,花蓮縣,970花蓮縣花蓮市國聯一路125號,23.99056154,121.6020454,https://www.facebook.com/WorldInntw/,09:30,20:00,15:00,20:00,06:00,11:00,從花蓮火車站步行4分鐘即可抵達
A Good Man's Hostel,A Good Man's Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯二路150號,23.98810244,121.6011623,https://www.google.com/search?q=A+Good+Man%27s+Hostel&rlz=1C1CHZL_zh-TWTW914TW914&oq=A+Good+Man%27s+Hostel&aqs=chrome..69i57j69i59j0i512l2.259j0j9&sourceid=chrome&ie=UTF-8,null,null,15:00,23:30,05:00,10:00,從花蓮火車站步行8分鐘即可抵達（車程約3分鐘）
街角二館-角舍背包客棧民宿,Corner House Backpacker Hostel,東部地區,花蓮縣,970花蓮縣花蓮市中山路743號,23.9916811,121.597722,http://www.cornerhouse.com.tw/,08:30,23:00,15:00,20:30,null,11:00,搭乘火車前來的旅客，請由火車站後站出站(西出口)後，至富安路左轉，再步行三分鐘即可到達民宿。
KID花蓮背包客棧, KID Hualien Hostel,東部地區,花蓮縣,97055花蓮縣花蓮市國興二街102號,23.99024887,121.6025302,https://www.kidhualien.com/,11:30,20:00,15:00,19:00,null,11:00,從花蓮火車站步行5分鐘即可抵達（車程約2分鐘）
Sleeping boot Hostel 背包客棧,Sleeping Boot Backpacker Hostel,東部地區,花蓮縣,970花蓮縣花蓮市進豐街73號,23.98617701,121.6065,https://www.sleepingboot.com/,10:00,21:00,16:00,21:00,null,11:00,從花蓮火車站步行12分鐘即可抵達（車程約4分鐘）
僖豆背包客,Lovely Bean Inn,東部地區,花蓮縣,970花蓮縣花蓮市商校街192號,23.98716697,121.6007906,https://www.facebook.com/lbhostel/?locale=zh_TW,08:30,18:00,15:00,18:00,null,10:00,從花蓮火車站步行10分鐘即可抵達（車程約3分鐘）
花蓮 小森見晴/ 背包客棧 / 火車站住宿 / 民宿, Shining Forest Hostel ,東部地區,花蓮縣,970花蓮縣花蓮市國興五街102號,23.98867274,121.6047637,http://shiningforesthostel.com/,15:00,20:00,15:00,20:00,08:00,11:00,從花蓮火車站步行8分鐘即可抵達（車程約3分鐘）
遐窩青年旅舍,JustWalk Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯五路160號,23.99309375,121.6050781,https://www.facebook.com/JustWalkHostel?fref=ts,08:30,22:00,15:00,21:00,07:00,11:00,從花蓮火車站步行5分鐘即可抵達（車程約3分鐘）
有窩客棧 ,You Worth Inn,東部地區,花蓮縣,970花蓮縣花蓮市國興三街82號,23.98868283,121.6028625,https://www.facebook.com/YouWorthInn/?locale2=zh_TW&paipv=0&eav=AfY5PRgMIASO9Cp6ciq5aDUKHU-7czr_TgmgzJB1TpKoIFfekkp6ZfitxMZRlWW71Ew&_rdr,10:00,22:00,15:00,00:00,null,11:00,從花蓮火車站步行8分鐘即可抵達（車程約3分鐘）
喀嚓緩旅, 123 Cheers Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民八街100號,23.99375553,121.6080207,https://www.facebook.com/123CheersHostel/,08:30,22:00,16:30,22:30,06:30,10:00,從花蓮火車站步行9分鐘即可抵達（車程約4分鐘）
站前海民宿,Station Sea B&B,東部地區,花蓮縣,970花蓮縣花蓮市國興五街112號,23.98864804,121.6044565,https://stationsea.tripcombined.com/,00:00,23:59,15:00,20:00,09:00,11:00,從花蓮火車站步行9分鐘即可抵達（車程約4分鐘）
Arch雅砌美學公寓,Arch Inn,東部地區,花蓮縣,970花蓮縣花蓮市國盛一街233號,23.9951004,121.6051599,https://archinn.tw-taiwan.com/tw/,00:00,23:59,15:00,22:00,08:00,11:00,從花蓮火車站步行7分鐘即可抵達（車程約3分鐘）
悅樂旅店‧花蓮, OLAH Poshtel Hualien,東部地區,花蓮縣,970花蓮縣花蓮市中福路122號,23.97183039,121.6023,https://www.olah.com.tw/tw/?gclid=Cj0KCQjwwvilBhCFARIsADvYi7INfbz0lX4ac-CgHxc1EWUwiCSEbAexZUHqJuhCw1_Ij7V7pVl0yIcaAtuJEALw_wcB,00:00,23:59,15:00,23:00,06:00,23:00,"1.從花蓮火車站→公車301東華大學圖書館→(7 個停靠站)花蓮文創園區(中華)→步行→悅樂旅店‧花蓮 OLAH Poshtel
2.從花蓮火車站步行→悅樂旅店‧花蓮 OLAH Poshtel(步行38分鐘/車程約10分鐘）"
荷雅居石梯坪民宿,null,東部地區,花蓮縣,977花蓮縣豐濱鄉港口村大港口1-8號,23.47086427,121.501571,http://www.hlocean.tw/,00:00,23:59,15:00,null,null,11:00,從花蓮火車站→花蓮轉運站公車1140靜浦→ (74 個停靠站)獅子山→步行→荷雅居石梯坪民宿
太平洋渡假村,null,東部地區,花蓮縣,977花蓮縣豐濱鄉小港55號,23.60136292,121.5275734,https://seasideresort.com.tw/,08:00,23:00,15:00,22:00,08:00,11:00,"1.自行開車：請導航到豐濱鄉小港55號   (台11線49.6公里)
2.大眾交通  ：在花蓮火車站轉乘客運，出火車站，左前方80公尺花蓮客運站，坐海線往南的1140、1145 公車到豐濱 小港站 下車，右手邊即是太平洋渡假村"
M.house旅宿,M.House ,東部地區,花蓮縣,970花蓮縣花蓮市和平路332-1號,23.97355474,121.6039763,https://mhouse.tw-taiwan.com/tw/,15:00,21:00,16:00,20:30,06:00,11:00,"1.從花蓮火車站→公車301東華大學圖書館→(7 個停靠站)花蓮文創園區(中華)→步行→M.house旅宿
2.從花蓮火車站步行→M.house旅宿(步行3分鐘/車程約10分鐘）"
博愛泊心境民宿,DF Park Space Hostel ,東部地區,花蓮縣,970花蓮縣花蓮市博愛街120號,23.97652987,121.6071399,https://www.facebook.com/DFPSHostel/,09:00,23:00,15:00,23:00,null,11:00,"1.從花蓮火車站→公車301東華大學圖書館→(8個停靠站)中華路(中華站)→步行→博愛泊心境民宿
2.從花蓮火車站步行→博愛泊心境民宿(步行29分鐘/車程約9分鐘）"
View Hostel 慮園 客棧,View hostel Foreign languages,東部地區,花蓮縣,970花蓮縣花蓮市中華路169號,23.97553706,121.6041943,http://www.bbmountainview.com/vhostel/,00:00,23:59,15:00,21:00,null,11:00,"1.從花蓮火車站→公車301東華大學圖書館→(7 個停靠站)花蓮文創園區(中華)→步行→View Hostel 慮園客棧民宿
2.從花蓮火車站步行→View Hostel 慮園客棧民宿(步行31分鐘/車程約9分鐘）"
船長不在家 背包客棧,Chesdon Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯三路85號,23.99034634,121.6051343,https://www.facebook.com/chesdonhostel/?locale=zh_TW,14:00,23:59,15:00,22:00,null,11:00,從花蓮火車站步行6分鐘即可抵達（車程約2分鐘）
旅行蟲背包客棧,The Travel Bug Hostel,東部地區,台東縣,959台東縣東河鄉134 號,22.87321082,121.2274177,https://www.facebook.com/TaitungDulanTheTravelBugHostel/,08:30,00:30,14:00,22:00,00:00,11:00,"1.從台東火車站→公車8103經台東大橋成功總站→(36個停靠站)都蘭B→步行→The Travel Bug Hostel旅行蟲背包客棧
2.從台東火車站車程約28分鐘"
東河民宿 狂衝浪店,Donghe surf shop,東部地區,台東縣,959台東縣東河鄉東河村南東河60號,22.9661039,121.3016891,https://donghe.taitungbnb.com/,00:00,23:59,15:00,null,null,11:00,"火車：
1. 直達台東火車站→轉鼎東客運 <約40分鐘>→東河包子下車→步行3-5分鐘至東河民宿(省道台11縣上與7-11同一條路)
2. 玉里火車站→轉鼎東客運 <約40分鐘>→成功轉鼎東客運<約15分鐘>→東河包子下車→步行3-5分鐘至東河民宿(省道台11縣上與7-11同一條路)
 飛機：
 1.直達台東站→轉鼎東客運<約50分鐘>→東河包子下車→步行3-5分鐘至東河民宿(省道台11縣上與7-11同一條路)"
熱帶低氣壓衝浪民宿, Low Pressure Restaurant & Guesthouse,東部地區,台東縣,95942台東縣東河鄉108號,22.96659953,121.3005426,http://www.easttaiwan-surf.com/,11:30,21:00,15:00,null,null,11:00,"1.從台東火車站→公車8103經台東大橋臺東轉運站→(11個停靠站)臺東轉運站→8119經中華大橋花蓮轉運站→(55個停靠站)東河電力所→熱帶低氣壓 Low Pressure Restaurant & Guesthouse
2.從台東火車站車程約40分鐘"
台東都蘭 晃輕鬆客棧咖啡館 ,Tranquilo Hostel & Café,東部地區,台東縣,959台東縣東河鄉都蘭路102號,22.87335883,121.2277265,https://www.facebook.com/TranquiloHostelDulan/,09:30,17:00,15:00,22:00,null,11:00,"1.從台東火車站→公車8103經台東大橋臺東轉運站→(11個停靠站)臺東轉運站→8119經中華大橋花蓮轉運站→(33個停靠站)都蘭A→台東都蘭 晃輕鬆客棧咖啡館 Tranquilo Hostel & Cafe
2.從台東火車站車程約28分鐘"
築頁衝浪背包客棧,PageSurfing Inn,東部地區,台東縣,959台東縣東河鄉287號,22.96854665,121.3036428,https://www.pagesurfinginn.com/,00:00,23:59,15:00,21:30,null,11:00,"1.從台東火車站→公車8103經台東大橋臺東轉運站→(11個停靠站)臺東轉運站→8119經中華大橋花蓮轉運站→(56個停靠站)東河→築頁衝浪背包客棧PageSurfingInn
2.從台東火車站車程約42分鐘"
落花鉎背包民宿 (都蘭),,東部地區,台東縣,959台東縣東河鄉420-9號,22.87618463,121.226359,http://groundnuthoster.blogspot.com/,null,null,15:00,21:00,null,11:00,"自行開車：
1.若由花蓮往南經由台11線(海線)---到達台東縣東河鄉都蘭村的第二個閃黃燈右轉---右邊的第四條巷子----我們在第二間。
2.若由台東市往北經由台11線(海線)---到達台東縣東河鄉都蘭村的第二個閃黃燈左轉---右邊的第四條巷子----我們在第二間。
公共運輸：
1.若由花蓮往南可搭乘火車到台東市，或是搭乘公車需在成功轉搭鼎東客運往台東市方向---到達台東縣東河鄉都蘭村站下車---都蘭的第二個閃黃燈右轉---右邊的第四條巷子----我們在第二間。
2.若到台東火車站或機場後---轉乘巴士或計程車或出租汽機車----經由台11線(海線)---到達台東縣東河鄉都蘭村的第二個閃黃燈左轉---右邊的第四條巷子----我們在第二間。"
都蘭朋友家,Dulan Friends Hostel,東部地區,台東縣,台東縣東河鄉959號,22.87470282,121.22977,https://www.facebook.com/DulanFriends,09:30,22:30,15:00,22:30,00:00,11:00,null
美好東河咖啡民宿,Mayhow Donghe,東部地區,台東縣,95942台東縣東河鄉東河村南東河139號,22.96824154,121.3024,https://www.facebook.com/MH.Tungho/,09:00,20:00,15:00,19:30,08:00,11:00,"1.從台東火車站→公車8103經台東大橋臺東轉運站→(11個停靠站)臺東轉運站→8119經中華大橋花蓮轉運站→(55個停靠站)東河電力所→ 美好東河咖啡民宿
2.從台東火車站車程約42分鐘"
途中·都蘭 青年旅舍 青年旅館,On My Way Dulan Hostel,東部地區,台東縣,959001台東縣東河鄉124號,22.87292631,121.2261846,https://www.onmywayhostel.com/,11:00,23:30,16:00,20:00,null,11:00,"1.從台東火車站→陸海空快線B臺東轉運站(旅服中心)→(9個停靠站)臺東轉運站→8102經中華大橋奚卜蘭遊客中心(德蕾莎)→(32個停靠站)都蘭B→ 途中·都蘭 青年旅舍 青年旅館 / On My Way Dulan Hostel
2.從台東火車站車程約28分鐘"
螺絲釘民宿,Taitung Open Surf Shop & Hostel,東部地區,台東縣,95942台東縣東河鄉北東河97號,22.97264193,121.305063,http://www.travel123.com.tw/bnb/screw.htm,10:00,22:00,15:00,null,null,11:00,"開車：
1.台東市沿中華路北行 → 過中華大橋 → 接11號省道 → 經富岡至東河村內，過消防隊左轉 → 螺絲釘民宿
搭車：
2.從台東乘坐開往泰源、成功、靜埔鼎東客運的班車 → 於東河站下車 → 再走路過消防隊左轉 → 螺絲釘民宿"
小心沙發SUP立槳背包客美食空間,Little Heart Homestay,東部地區,台東縣,961台東縣成功鎮美山路55號,23.15095929,121.3973217,https://little-heart.rezio.shop/zh-TW,17:30,23:59,15:00,22:00,08:00,11:00,"1.從台東火車站→陸海空快線B臺東轉運站(旅服中心)→(9個停靠站)臺東轉運站→8102經中華大橋奚卜蘭遊客中心(德蕾莎)→(103個停靠站)美山→ 小心沙發SUP立槳(LiTtLe HeArt)背包客美食空間
2.從台東火車站車程約1小時3分鐘"
那邊背包客棧,Thatway,東部地區,台東縣,950台東縣台東市松江路一段303巷18弄3號,22.79404861,121.1920243,https://www.facebook.com/taitungnabian/,null,null,12:00,00:00,06:00,11:00,"1.從台東火車站→陸海空快線A富岡港口→(6個停靠站)富岡港口→那邊背包客棧Thatway
2.從台東火車站車程約16分鐘"
海景擁月星宿民宿,null,東部地區,台東縣,961台東縣成功鎮豐田路25-1號,23.0511244,121.3444099,http://www.fujangvilla.com.tw/,19:30,22:00,16:00,21:30,08:00,11:00,"自行開車：
1.由台北開國道五號接蘇花公路至花蓮→走台11線/花東海岸公路往台東市方向→台11線121.5公里處抵達台東擁月星宿
2.由高雄開車至屏東楓港經南迴公路至台東市→走台11線/花東海岸公路往成功方向→台11線121.5公里處抵達台東擁月星宿"
海水藍民宿,null,東部地區,台東縣,954台東縣卑南鄉富山村14鄰杉原149號,22.84551646,121.1884418,https://aquamarine.jri.tw/,09:00,21:00,15:00,22:00,null,11:00,"自行開車：
(北上)1.自台東市往北走，沿著中華大橋接東海岸台11線，經富岡、杉原至富山護漁區，往北約1公里，即抵海水藍Aquamarine民宿。
(南下)
1.國道5號-蘇澳交流道下.自花蓮市接台11線至，都蘭往南4公里附近，即抵海水藍Aquamarine民宿。
2. 國道5號-蘇澳交流道下.自花蓮市接台9線轉玉長公路至台11線，至都蘭往南4公里附近，即抵海水藍Aquamarine民宿"
台東木頭魚民宿,Woodenfish Hotel,東部地區,台東縣,961台東縣成功鎮都歷路246-28號,23.03285707,121.3349233,http://woodenfish.okgo.tw/,07:30,22:30,15:00,null,null,11:00,"自行開車：
1.花蓮→台東：台11線/海岸公路→長濱鄉→成功鎮信義里都歷路(台11線123K+600M附近省道旁) →『台東木頭魚民宿』
2.屏東→台東：台9線→台11線/東海岸公路→東河鄉→成功鎮信義里都歷路(台11線124K附近省道旁) →『台東木頭魚民宿』
大眾交通工具：
1.飛機：請搭乘華信或立榮航空；台北→台東航班→台東航空站→轉搭海線鼎東客運(或轉乘計程車直達) →至成功鎮北都歷站牌下車→步行約100公尺至『台東木頭魚民宿』
2.火車：由北往南搭乘台鐵至玉里火車站→轉乘計程車自玉里至民宿(走玉長公路)→石雨傘→成功鎮→『台東木頭魚民宿』
由南往北搭乘台鐵至台東站→轉搭海線鼎東客運(或轉乘計程車直達) →至成功鎮北都歷站牌下車→步行約100公尺至『台東木頭魚民宿』"
黑足民宿,Black Jue B&B,東部地區,台東縣,950台東縣台東市富岡街180號,22.7927934,121.1895083,https://blackjue.ittbnb.com/,00:00,23:59,15:00,22:00,null,11:00,"1.從台東火車站→陸海空快線A富岡港口→(6個停靠站)富岡港口→ 黑足民宿
2.從台東火車站車程約15分鐘"
東岸民宿,null,東部地區,台東縣,959台東縣東河鄉隆昌村235-8號,22.92864413,121.2704692,http://coast.yoyotaitung.com.tw/index.html,00:00,23:59,15:00,null,null,11:00,"自行開車：
1.花蓮往台東方向：花蓮 → 台11省道(花東海岸公路) → 經過東河村 →  隆昌村(137.7公里處) → 即可抵達『東岸海景民宿』。
2.高雄往台東方向：高雄 → 南迴公路 → 台9省道過豐源大橋下橋接台11省道(臨海路) → 過中華大橋 → 花東海岸公路(台11省道) → 經過都蘭村 → 隆昌村(137.7公里處)  → 即可抵達『東岸海景民宿』。"
