店家名,地區,縣市,地址,緯度,經度,連結
海水藍民宿,東部地區,台東縣,954台東縣卑南鄉富山村14鄰杉原149號,22.84551646,121.1884418,
台東木頭魚民宿,東部地區,台東縣,961台東縣成功鎮都歷路246-28號,23.03285707,121.3349233,
黑足民宿,東部地區,台東縣,950台東縣台東市富岡街180號,22.7927934,121.1895083,
東岸民宿,東部地區,台東縣,959台東縣東河鄉隆昌村235-8號,22.92864413,121.2704692,
大姆灣民宿旅棧 Tamo'wan,東部地區,台東縣,台東縣東河鄉都蘭村舊廍路47鄰14-9號,22.8821197,121.2392798,
東河海王子民宿,東部地區,台東縣,台東縣東河鄉東河村北東河路117號,22.97363225,121.3057413,
都蘭城民宿,東部地區,台東縣,959台東縣東河鄉都蘭村256-3號,22.8759112,121.2281941,
山海都藍,東部地區,台東縣,959台東縣東河鄉34 號,22.89628343,121.2428296,
都蘭紅瓦厝民宿,東部地區,台東縣,959台東縣東河鄉都蘭村18鄰57之3號,22.87388316,121.2234443,
金地亞哥民宿,東部地區,台東縣,95942台東縣東河鄉七里橋20號,22.94990495,121.2811265,
晨天長光,東部地區,台東縣,962台東縣長濱鄉122號 ,23.33013181,121.4621537,
小阿姨野花,東部地區,台東縣,台東縣長濱鄉長濱村長光178之3號,23.32840811,121.4637865,
灰黑橘黃民宿,東部地區,台東縣,962台東縣長濱鄉,23.35015369,121.4681712,
棕萊民宿（在地人自營）,東部地區,台東縣,台東縣長濱鄉962 黎 頭 針 9 鄰 3 之 6 號,23.32793627,121.44158,
綠島涵館TUBE18,外島/離島地區,台東縣,951台東縣綠島鄉南寮村龜灣32-1號,22.64711723,121.4760166,
綠島熱浪潛水中心,外島/離島地區,台東縣,951台東縣綠島鄉216之1號,22.67430547,121.4774551,
CoolDiving Hostel｜背包輕旅｜潛水課程｜活動行程｜,外島/離島地區,台東縣,951台東縣綠島鄉中寮52-2號,22.6730017,121.472694,
好朋友潛水渡假旅宿,外島/離島地區,台東縣,951台東縣綠島鄉柴口62-26號,22.67681525,121.4837073,
火燒島潛水度假中心,外島/離島地區,台東縣,951台東縣綠島鄉南寮村239-1號,22.67298294,121.4682,
台灣潛水 綠島店 Green Island Dive,外島/離島地區,台東縣,951台東縣綠島鄉一零三之一號,22.67693404,121.4873417,
浪漫潛水,外島/離島地區,台東縣,95142台東縣綠島鄉951柴口168號,22.67747477,121.4853451,
藍洋潛水訓練中心 Blue Ocean SCUBA Center,外島/離島地區,台東縣,952台東縣蘭嶼鄉295之2號,22.05835564,121.5095708,
綠島海角樂園水上活動中心,外島/離島地區,台東縣,台東縣綠島鄉南寮村39號,22.66578038,121.471146,
聯慶愛潛水 Green Island Scuba Diving,外島/離島地區,台東縣,951台東縣綠島鄉漁港 路2-6 號,22.65769772,121.4753426,
私家潛水旅宿,外島/離島地區,台東縣,951台東縣綠島鄉公館村公館村柴口26-2號,22.67402253,121.4783265,
綠島極光潛水,外島/離島地區,台東縣,951台東縣綠島鄉39號,22.67443586,121.479176,
海子・Ocean Rover 綠島潛水旅宿,外島/離島地區,台東縣,951台東縣綠島鄉柴口105-1號,22.67685576,121.4875775,
"Oceanian 綠島自由潛水背包客棧 Green island,Taiwan",外島/離島地區,台東縣, 951台東縣綠島鄉柴口79-1 ,22.67705704,121.4862079,
島潛。Islands Dive,外島/離島地區,台東縣,951台東縣綠島鄉南寮漁港15-6號  ,22.66216338,121.4734545,
Goods dive,外島/離島地區,台東縣,951台東縣綠島鄉52之51,22.67112564,121.4731656,
水青潛水旅宿,外島/離島地區,台東縣,951台東縣綠島鄉漁港16-2號,22.66256666,121.4734194,
綠島·潛界 Diving Unlimited,外島/離島地區,台東縣,951台東縣綠島鄉漁港1-60號,22.6551215,121.4750775,
安全停留潛水中心,外島/離島地區,台東縣,951台東縣綠島鄉環島公路15-3號,22.65955399,121.4753885,
綠島野蠻紮實潛水社,外島/離島地區,台東縣,951303台東縣綠島鄉公舘1之10號,22.67683566,121.4892855,
綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel,外島/離島地區,台東縣,951台東縣綠島鄉南寮205-1號,22.67152587,121.4675795,
綠島 海遇潛水,外島/離島地區,台東縣,951台東縣綠島鄉221號,22.6742334,121.4746542,
Koh ocean · 嶼海 綠島自由潛水旅宿,外島/離島地區,台東縣,951台東縣綠島鄉16號,22.67561686,121.4903798,
綠島海灣會館,外島/離島地區,台東縣,951台東縣綠島鄉漁港路10之5號,22.66106982,121.4744906,
綠島微風潛水度假中心,外島/離島地區,台東縣,台東縣綠島南寮村漁港1-58號號,22.6553435,121.4752,
佈拉咖潛旅,外島/離島地區,台東縣,951台東縣綠島鄉中寮54-3號,22.6732155,121.4732324,
綠島玉米-潛水住宿Diveholix Homestay,外島/離島地區,台東縣,951台東縣綠島鄉南寮17號,22.6652242,121.4716,
海島旅人 Diving Hostel ,外島/離島地區,台東縣,951台東縣綠島鄉漁港路11號,22.66125749,121.4743447,
綠島快樂潛水民宿,外島/離島地區,台東縣,95141台東縣綠島鄉南寮村一鄰南寮19號,22.66496176,121.471285,
月光城堡潛水中心(Mooncastle Dive Center),外島/離島地區,台東縣,951台東縣綠島鄉漁港121號,22.65648565,121.4752591,
過日子民宿&綠島阿禧潛水俱樂部,外島/離島地區,台東縣,951台東縣綠島鄉柴口55-1號,22.67466231,121.4805882,
海街日記-OCEAN DIARY 綠島潛水旅宿,外島/離島地區,台東縣,951台東縣綠島鄉公館50號,22.67537265,121.4909621,
藏水綠島館Hide and Sea,外島/離島地區,台東縣,951台東縣綠島鄉南寮漁港2-9號,22.6569551,121.4755155,
戀戀火燒島,外島/離島地區,台東縣,95142台東縣綠島鄉南寮1-80號,22.65413323,121.4749565,
綠島走走,外島/離島地區,台東縣,951台東縣綠島鄉中寮55號,22.67430817,121.4709589,
海人生 C'est la vie 綠島海景民宿,外島/離島地區,台東縣,951台東縣綠島鄉柴口33號,22.67461543,121.4792236,
水面休息潛水員旅宿,外島/離島地區,台東縣,95141台東縣綠島鄉三鄰3-1號,22.67617812,121.4902052,
柒七潛水旅店,外島/離島地區,台東縣,951台東縣綠島鄉121號,22.67533601,121.4702286,
島人嶼海,外島/離島地區,台東縣,951台東縣綠島鄉 2 鄰 113 號,22.67673505,121.4884079,
綠島9號精品渡假村,外島/離島地區,台東縣,951台東縣綠島鄉漁港 3-1 號,22.65958311,121.4760671,
高氧旅宿,外島/離島地區,台東縣,951台東縣綠島鄉南寮142號,22.66733835,121.4696905,
愛上綠島民宿,外島/離島地區,台東縣,951台東縣綠島鄉漁港路39號,22.6643869,121.471821,
綠島居福潛水,外島/離島地區,台東縣,951台東縣綠島鄉78-3號,22.67499387,121.492551,
綠島海猴子潛水Green Island Sea Monkey Diving,外島/離島地區,台東縣,951台東縣綠島鄉51號,22.67510906,121.4917912,
綠島啤 酒魚潛水中心,外島/離島地區,台東縣,951台東縣綠島鄉公館99號,22.6739701,121.4926692,
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,外島/離島地區,台東縣,951台東縣綠島鄉210號,22.66997022,121.4682604,
BLUE SAFARI DIVING CENTER 藍莎潛水中心（PADI五星級教練發展潛水中心）,外島/離島地區,台東縣,951台東縣綠島鄉72號,22.6749033,121.4917939,
綠島怪獸潛水,外島/離島地區,台東縣,951台東縣綠島鄉溫泉66號,22.64567481,121.4983325,
一直曬太陽hostel民宿(SunnyDayHostel),外島/離島地區,台東縣,台東縣綠島鄉公館村65號,22.67501451,121.4922481,
綠島諾亞民宿,外島/離島地區,台東縣,台東縣綠島鄉柴口50之6號　,22.67447076,121.4802856,
好棧 Good Hostel,外島/離島地區,台東縣,951台東縣綠島鄉漁港136號,22.65591273,121.4750796,
綠島緩島旅宿。Slow Island Hostel,外島/離島地區,台東縣,951台東縣綠島鄉南寮九鄰110之1號,22.66605095,121.47043,
70腳落,外島/離島地區,台東縣,台東縣綠島鄉公館村49號,22.67496565,121.4913199,
閱光海背包輕旅,外島/離島地區,台東縣,951台東縣綠島鄉南寮143號,22.66819115,121.4684516,
龜灣39號背包客棧 露營,外島/離島地區,台東縣,951台東縣綠島鄉南寮村1鄰龜灣39之1號,22.6468628,121.4767791,
綠島放個假旅宿 ,外島/離島地區,台東縣,951台東縣綠島鄉中寮205號,22.67408528,121.4734223,
藍海屋潛水渡假村,外島/離島地區,台東縣,952台東縣蘭嶼鄉1-8號,22.02351199,121.5585921,
小豆丁民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島235-1號,22.07834039,121.5252383,
飛魚民宿。蘭嶼 Lanyu,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落10鄰101號,22.02722466,121.5422068,
Azul Apnea Freediving 朗。自由潛水,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村6-1號1樓,22.07919108,121.5291291,
暖暖浮潛,外島/離島地區,台東縣,95242台東縣蘭嶼鄉82號,22.03823974,121.5669555,
Unlockdive 解鎖自由潛水工作室,外島/離島地區,台東縣,952台東縣蘭嶼鄉122號,22.05056966,121.5126536,
海岸線 Lanyu Coastline,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村6鄰235之2號,22.07830805,121.5252279,
蘭嶼海的窩,外島/離島地區,台東縣,台東縣蘭嶼鄉197之六號,22.03938483,121.5671146,
蘭嶼町Ah度背包客棧,外島/離島地區,台東縣,95242台東縣蘭嶼鄉東清村3鄰東清59號 2,22.0575517,121.5643478,
蘭嶼 雅娜背包客棧 Yana backpacker,外島/離島地區,台東縣,95241台東縣蘭嶼鄉紅頭5鄰135號,22.02579764,121.5545,
沙卡法艾背包客棧,外島/離島地區,台東縣,台東縣蘭嶼鄉紅頭村紅頭41號,22.02533818,121.5539243,
蘭嶼單藍,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落3號2樓,22.02705633,121.5435788,
蘭嶼 Mr.FISH HOSTEL 魚先生· 背包旅宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉40號,22.02684235,121.5426755,
蘭嶼 蘭晴背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉124號,22.02548744,121.5545605,
蘭嶼 轉角11號民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉村No. 11-1號,22.02714198,121.5433493,
Rover Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉村65 號,22.02773827,121.5439218,
蘭嶼唯島背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉部落100號,22.02722353,121.5423242,
蘭嶼旅人·Rover,外島/離島地區,台東縣,95241台東縣蘭嶼鄉村25之1號,22.02646099,121.5498493,
榕樹下背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉椰油村9號,22.04547888,121.5176625,
都教練背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉村東清137之1號,22.06056104,121.5595655,
蘭嶼看海的日子民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉82號,22.0270817,121.5423362,
Vanwa番哇背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉6 號,22.05759918,121.5653,
那天 THat day Hostel,外島/離島地區,台東縣,952台東縣蘭嶼鄉4鄰170號,22.05132069,121.5124395,
蘭嶼·貝殼屋民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉41號,22.02682705,121.5424459,
蘭嶼 嵐羽民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉野銀197-3號,22.039216,121.5666177,
瑪莎蕊背包客棧,外島/離島地區,台東縣,95242台東縣蘭嶼鄉82號,22.03819135,121.5669,
小島生活,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭3號,22.02473225,121.5544421,
蘭嶼魚飛浪民宿 Lamuran Guesthouse,外島/離島地區,台東縣,95201台東縣蘭嶼鄉,22.02769629,121.5430106,
Oyawa背包客棧 x旅宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉,22.06701031,121.5667,
休眠中 蘭嶼友達背包客棧,外島/離島地區,台東縣,952蘭嶼鄉台東縣紅頭56 號 ,22.02542667,121.5543259,
蘭嶼東清海沙屋民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉村東清路12-6號號2F,22.0581656,121.565629,
Libang 背包客棧 / 個人工作室,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村17-9號,22.07972306,121.518567,
嘟嘟悟的家,外島/離島地區,台東縣,952台東縣蘭嶼鄉296-3號,22.05957364,121.5098229,
旅兜- house 背包客棧 Lyu dou,外島/離島地區,台東縣,952台東縣蘭嶼鄉朗島村169號朗島,22.07801313,121.5268,
蘭嶼國宅背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉椰油村151號,22.05079138,121.5126415,
Miawawa_Lanyu 蘭嶼米亞哇哇潛旅背包客棧,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭124號,22.02549032,121.5545702,
兩隻魚,外島/離島地區,台東縣,952台東縣蘭嶼鄉村296之12號,22.05916739,121.509256,
蘭嶼薰多琦海景休閒民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉紅頭村25之11號,22.02638566,121.5503737,
蘭嶼海的窩,外島/離島地區,台東縣,台東縣蘭嶼鄉197之六號,22.03938638,121.5671136,
蘭嶼綠建築: 天空的眼睛,外島/離島地區,台東縣,952台東縣蘭嶼鄉,22.0608347,121.5683113,
蘭嶼 好望角民宿,外島/離島地區,台東縣,952台東縣蘭嶼鄉1-9號,22.02048603,121.5605498,
龍洞潛水旅宿中心,北部地區,新北市,228新北市貢寮區龍洞街1號1樓,25.11257791,121.9208831,
深境住宿玩潛水,北部地區,新北市,228002新北市貢寮區龍洞街63-4號3F,25.13053736,121.9169345,
La 潛水訓練中心,北部地區,新北市,228新北市貢寮區和美街71號,25.07500083,121.9150562,
鬧潛水Now Diving Center,北部地區,新北市,228新北市貢寮區新港街49號,25.0560628,121.9264683,
RUKU 潛水/SUP,北部地區,新北市,228002新北市貢寮區龍洞街53號,25.11372134,121.9127994,
iDiving 龍洞,北部地區,新北市,228新北市貢寮區龍洞街66-1號,25.11786579,121.9159444,
龍洞鼻頭角潛水店,北部地區,新北市,228新北市貢寮區龍洞街63－5號,25.11814963,121.9165804,
小房子背包客棧,南部地區,嘉義市,600嘉義市西區中正路504號,23.47883484,120.4476914,
福泰桔子商旅文化店,南部地區,嘉義市,600嘉義市西區文化路169號,23.48108487,120.449227,
KM Hostel 距離背包客棧,南部地區,嘉義市,600嘉義市西區蘭井街273號,23.47724394,120.4478776,
仲青行旅嘉義館 LIGHT HOSTEL,南部地區,嘉義市,600嘉義市西區光彩街622號,23.4777616,120.444056,
客旅家,南部地區,嘉義市,600嘉義市西區中正路445、447號,23.4787282,120.4481792,
日光輕旅 晃拾光,南部地區,嘉義市,600嘉義市西區中正路655號,23.47853824,120.4431948,
23星球,南部地區,嘉義市,600嘉義市西區中興路23號 3號樓之5,23.48015617,120.4394032,
Oinn Hotel & Hostel Chiayi－文化輕旅,南部地區,嘉義市,600嘉義市東區文化路294號,23.48374894,120.4488338,
塔拉TARA民宿GUEST HOUSE,南部地區,嘉義市,600嘉義市東區中正路185巷21號,23.47888425,120.4547501,
La Wa House,南部地區,嘉義市,600嘉義市東區成仁街253號,23.48281862,120.4511174,
嘉義小青旅,南部地區,嘉義市,600007嘉義市西區林森西路460號,23.48125383,120.443709,
H& 台南微醺文旅 / H& tainan weshare hotel,南部地區,台南市,700台南市中西區大德街28號,22.98965193,120.195731,
U.I.J Hotel & Hostel - 友愛街旅館,南部地區,台南市,700台南市中西區友愛街115巷5號,22.99079582,120.1997732,
Oinn Hotel & Hostel Tainan－巷弄潮旅,南部地區,台南市,700台南市中西區文和街29號,23.00383687,120.1927721,
【南惰 • House Nandoor】背包客棧,南部地區,台南市,700台南市中西區大同路一段46巷20號,22.98769896,120.2109215,
臺南水倉依舊民宿,南部地區,台南市,700台南市中西區永福路二段81巷18號,22.99305876,120.2005528,
我鹿背包輕旅x mydeer backpacker,南部地區,台南市,700台南市中西區府前路一段371巷26號,22.9894155,120.1988149,
158.棧,南部地區,台南市,700台南市中西區忠義路二段158巷5號,22.99590681,120.2042143,
驛家旅店-EasyInn Hotel & Hostel-青年旅館,南部地區,台南市,700台南市中西區成功路343號9樓,23.00005861,120.1997417,
艸祭Book inn,南部地區,台南市,70049台南市中西區南門路71號,22.98956499,120.2047617,
Loft18 Hostel 陳倉客棧,南部地區,台南市,700台南市中西區海安路二段270巷18號5F,22.9979953,120.197991,
De Provintia Straat B&B 普羅民遮民宿,南部地區,台南市,700台南市中西區民權路二段146號,22.99517717,120.2030096,
藏風The WIND GUESTHOUSE,南部地區,台南市,700台南市中西區民權路一段267號,22.99314875,120.2068936,
清淨背包客棧-民權新館,南部地區,台南市,700台南市中西區民權路一段244號,22.99435137,120.2067368,
台南 東寧文旅 ,南部地區,台南市,700台南市中西區民生路二段83號,22.99503007,120.1970047,
哈木家,南部地區,台南市,700台南中西區忠義路二段158巷20弄39號 ,22.99548407,120.204591,
紡南FunNan Guesthouse,南部地區,台南市,70053台南市中西區海安路二段259巷31號,22.99817357,120.1969058,
1881雅客居,南部地區,台南市,700005台南市中西區西門路二段74巷3號,22.99220594,120.1987852,
漫半拍民宿,南部地區,台南市, 700台南市中西區新美街204號,22.99804634,120.201533,
福憩背包客棧-和平館,南部地區,台南市,700台南市中西區和平街91號,22.99655736,120.1967034,
福憩背包客棧-緣憩館,南部地區,台南市,70048台南市中西區中正路70號,22.9922948,120.2014275,
365.合日旅所 365.Hostel,南部地區,台南市,700台南市中西區西門路二段365巷5號,22.99810526,120.2000752,
Journey Hostel 掘旅,南部地區,台南市,701台南市東區育樂街161 號,22.99447366,120.2147574,
老曼船長鐵道HOSTEL,南部地區,台南市,701台南市東區北門路二段2號,22.99664553,120.212636,
仲青行旅台南館 LIGHT HOSTEL,南部地區,台南市,700台南市中西區友愛街309巷20號,22.99193257,120.1954203,
good garden hostel 谷園客棧,南部地區,台南市,700台南市中西區中山路79巷66號,22.99435546,120.206744,
成功古巷民宿 (Red House & Old Lane ChengGong Inn),南部地區,台南市,704台南市北區佑民街14號,22.99907839,120.2059594,
府城窩旅 Tainanwow,南部地區,台南市,704台南市北區成功路114號6樓,22.9987783,120.2054281,
紙飛機高雄青年旅館-捷運高醫後驛店PaperPlane Hostel,南部地區,高雄市,80743高雄市三民區博愛一路287號10樓,22.64904325,120.3030812,
奇異果快捷旅店-高雄車站店,南部地區,高雄市,80757高雄市三民區大連街88號,22.64225524,120.3051968,
國泰旅社-背包客的窩,南部地區,高雄市, 813高雄市左營區左營大路401巷33弄10號,22.68853411,120.2927714,
AHIRUYAH 鴨家青年旅館,南部地區,高雄市,80055高雄市新興區六合一路158號5樓,22.63309087,120.3034152,
小承輕旅,南部地區,高雄市,800高雄市新興區中山一路145號,22.63235345,120.3017939,
同．居 With Inn HosteL,南部地區,高雄市,800高雄市新興區文橫一路5巷28號,22.62407559,120.3023757,
敲敲門青旅 Knock Knock Hostel,南部地區,高雄市,80741高雄市三民區察哈爾二街7巷8號,22.64729446,120.3026063,
旅聚居青年旅舍,南部地區,高雄市,800高雄市新興區中山一路117號6樓,22.63167186,120.3012663,
Uno青年旅舍,南部地區,高雄市,800高雄市新興區中山二路548號,22.62234299,120.30156,
遊大俠x七桃公寓,南部地區,高雄市,800高雄市新興區中正三路128號,22.63139722,120.3051658,
美麗道商旅,南部地區,高雄市,80054高雄市新興區中正三路99-2號,22.63087041,120.3068914,
背包41青年旅館 - 高雄館,南部地區,高雄市,802高雄市苓雅區四維三路261巷39號,22.61617416,120.3042832,
飛行家青年旅館FLYINN HOSTEL,南部地區,高雄市,802高雄市苓雅區仁義街2-4號,22.61429433,120.3035523,
旅悅 國際青年旅館 D’well Hostel,南部地區,高雄市,806高雄市前鎮區三多三路211號3樓,22.61463683,120.3070465,
天藝商旅,南部地區,高雄市,801高雄市前金區六合二路149號,22.63094672,120.2959196,
巢鴨青年館,南部地區,高雄市,807高雄市三民區建國三路46巷19-3號,22.63912326,120.300656,
NJOY TAKAO KITCHEN,南部地區,高雄市,804高雄市鼓山區臨海一路14之1號,22.62056836,120.2734078,
嶼海tuà-hái,南部地區,屏東縣,946屏東縣恆春鎮中正路232巷147弄26號,22.00880423,120.7461876,
Divingmind潛意識恆春分部,南部地區,屏東縣,946屏東縣恆春鎮環城北路217之2號,22.00945487,120.7450703,
悠樂趣潛水俱樂部,南部地區,屏東縣,946屏東縣恆春鎮西門路25號,22.00616225,120.7430348,
SEACHANGER正式自由,南部地區,屏東縣,946屏東縣恆春鎮恆北路86號-13號,22.00982115,120.7493381,
醉初自由潛水,南部地區,屏東縣,946屏東縣恆春鎮北門路42巷21弄3號,22.00499913,120.7480542,
潛水部落 D Dive Center,南部地區,屏東縣,946屏東縣恆春鎮山腳路100-1號,22.00413634,120.7515993,
浪影 surfilms 背包旅宿,南部地區,屏東縣,946屏東縣恆春鎮北門路39巷9號,22.00436404,120.7467812,
暖洋潛水旅宿 Wonder Ocean Dive Hostel,南部地區,屏東縣,946屏東縣恆春鎮光明路48巷8號,22.00202293,120.7442026,
