關鍵字,回應
亞潮潛水中心,介紹：/n亞潮潛水成立於1988年，是一家國內制度完善、規模龐大的潛水中心。他們擁有近30位教練團成員，每期課程由一位主持教練負責，並有其他教練團隊提供支援，他們是SSI和PADI國際潛水組織的授權潛水中心，擁有完善的教學設備和多國語系教材，並由資深的教練授課和核發執照，他們致力於培養學員成為教練並關注環境保護，讓每位學員能無壓力地享受潛水學習的樂趣。
iDiving愛潛水,介紹：/niDiving是一家潛水店家，擁有80位水肺自潛教練團隊，他們提供上課和活動時高比例的教練人數，並可客製化上課時間，方便學員安排，作為駐店的SSI教練訓練官，iDiving從初級到教練培訓都能提供完整的教學服務。每年冬季，他們都進行教練資格更新復訓，確保教練的專業水平。此外，iDiving還開設了全年33團各地潛水旅遊團，包括東北角、小琉球、墾丁、蘭嶼、綠島和澎湖等地，無論是新手岸潛團還是老手船潛，iDiving都能帶領你享受山水之間的潛水樂趣。
四分之一潛水訓練中心,介紹：/n四分之一潛水是由三位潛水教練和一位設計師組成的小團隊，四分之一，代表我們都是團隊的一份子，四分之一，當然也代表我們最愛的季節－夏天。我們提供客製化的預約制課程，教練們擁有豐富的經驗，將嚴肅的學習活動轉化為歡樂的潛水體驗。
飛漩潛水,介紹：/n飛漩潛水是一家專注於考證照和提供考照輔導專案的潛水公司。他們著重在幫助潛水愛好者順利通過各種潛水證照考試，除此之外他們還有與教育單位合作各項潛水考照的輔導案
悠潛潛水,介紹：/n悠潛潛水成立於2015年，以潛水訓練、裝備販售和潛水旅遊為主要業務，教練團隊擁有多年的教學經驗，提供多種系統的證照課程。安全是他們的首要關注，並定期舉辦國內外潛水旅遊活動。
海玩子潛水訓練中心,介紹：/n海玩子潛水訓練中心是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
台灣潛水Taipei,介紹：/n台灣潛水是一家始於1980年的潛水店，起初從事工程潛水，後轉型為休閒潛水，他們的宗旨是將海洋帶進人們的生活，讓更多人熱愛大海並參與保護海洋的行動，他們提供專業的潛水課程、海洋商品販售以及保育活動的推廣，期望能真正將海洋融入每個人的生活。
藍星海洋潛水俱樂部,介紹：/n藍星海洋俱樂部是一家潛水店，他們喜歡潛入海中，讓人們能俯瞰海底星空、感受水的溫度、聆聽海洋聲音和自己的心跳聲，回到最初生命的起點，他們提供獨特的潛水體驗，讓人們進一步探索和體驗海洋的神秘和美麗。
52龍洞/52LDNAUI Diving Center,介紹：/n52龍洞是一家位於台灣新北市貢寮區龍洞街52號的潛水中心，專注於提供多種潛水課程和觀光潛水體驗，他們歡迎所有對潛水有興趣的人前來體驗，並提供專業的指導和安全保障，無論是初學者還是有經驗的潛水員，52龍洞都致力於讓每個人享受到精彩而安全的潛水之旅。
Bai-Hi潛水休閒中心,介紹：/nBai-Hi潛水休閒中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
逐海俱樂部,介紹：/n逐海俱樂部是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
88潛水俱樂部,介紹：/n88潛水俱樂部是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
891新莊潛水家,介紹：/n891新莊潛水家是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
台灣潛伴俱樂部,介紹：/n台灣潛伴俱樂部是由熱愛潛水教學的成員所組成，注重專業與安全，並致力於海洋保育，他們提供彈性的課程安排，小班制教學，以及全系列的PADI課程選擇，讓學員享受個人化且高品質的潛水體驗。
台灣樂潛 潛水中心,介紹：/n台灣樂潛 潛水中心主要是著重在證照培訓的部分，我們提供全面的課程，並由經驗豐富的教練指，無論是初學還是有經驗的潛水愛好者，我們都可以提供專業的指導和豐富的潛水體驗。
太平洋潛水中心,介紹：/n太平洋潛水中心成立於1989年，專注於休閒潛水的推廣和教育，他們注重個別化的教學，並將潛水安全置於首位，憑藉完整的SSI全方位教學系統，他們提供多元化的潛水培訓，讓你盡情享受蔚藍海洋的奇妙世界。
1988潛水家,介紹：/n1988潛水家是一家重視安全與專業的潛水中心，提供個人化的教學與精緻化的潛水課程，讓您安心享受藍色大海的魅力。他們的教練持有SSI和PADI雙系統認證，致力於推廣休閒潛水，並提供全方位的潛水服務和安全知識教育。
海底玩家潛水訓練中心,介紹：/n海底玩家潛水訓練中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
野人日記~澎湖南方四島/七美/無人島探險/海露、Sup浮潛/自潛澎湖90群島探險潛旅、自由潛水、私人潛導,介紹：/n野人日記是一間浮潛店，專為想要深入探索海底世界的冒險愛好者所設計，與其他浮潛店不同的是，這家店一天只接待一個團，讓每位客人擁有一整天的時間來充分體驗和享受海底的奇妙景觀。
PIDC亞果國際潛水中心,介紹：/n亞果國際潛水中心是一個位於澎湖的潛水中心，他們致力於打造一個永續的海洋觀光發展基地，同時推廣澎湖獨特的人文歷史和豐富的自然生態，他們提供客製化、多元化和深度化的海洋體驗，讓更多的人有機會親身接觸海洋、近距離感受海洋、並且深入了解海洋，同時也將澎湖的美麗推向國際。
稻荷潛水中心InariDive,介紹：/n專注於潛水教學和潛水設備維修，提供了多種潛水課程，經驗豐富的教練團隊，以及高品質的潛水設備維修服務。
波賽頓海洋運動俱樂部 Poseidon Water Sports Club,介紹：/n波賽頓海洋運動俱樂部位於澎湖本島南邊的蒔裡沙灘海域，是一個專業的海洋運動俱樂部，他們提供多樣化的水上活動，讓你盡情享受海洋的樂趣，不論你是寬板滑水、SUP、體驗潛水、浮潛、花火節夜划還是尋求專業潛水證照課程和滑水課程，他們都能滿足你的需求。
陽光阿有,介紹：/n陽光阿有提供多種水上活動，包括體驗潛水、專業浮潛、SUP板類運動和潮間帶活動，無論你是初次嘗試水下冒險，還是已經具有潛水經驗，他們都能為你提供適合的活動和專業指導。
海洋途徑潛水,介紹：/n海洋途徑潛水店是由一對姊弟於2015年共同創辦，以推廣海洋安全教育和生態環境保護為目標，他們提供多樣化的潛水活動，並致力於培訓專業潛水教練，讓更多人能夠突破自我、愛上海洋，並深入認識和欣賞美麗的海洋。
海獺潛水,介紹：/n海獺潛水是一個擁有獨特風格和熱情的潛水中心，他們以海獺為象徵，.代表著我們對水下世界的熱愛和對自然的敬重，就像海獺喜歡仰臥在水面上漂浮的姿態一樣，我們相信在水下潛水時，能夠讓潛水員在水面上仰泳一樣輕鬆自在。我們的目標是讓每位潛水者都能夠享受潛水帶來的樂趣和舒適感，同時在探索海洋的過程中培養對自然的敬愛之情
波賽頓山水店（水肺潛水/浮潛）,介紹：/n波賽頓山水店專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
日日潛水,介紹：/n日日潛水是一個熱愛海洋的潛水中心，他們相信，看似平凡的海面下，藏著許多不凡的事物等待著我們去探索和遇見，不僅能讓你感受到陸地上豐富的沿海風光和樸實的人情，還能讓你親身參與珊瑚與海洋生物的復育計畫，在這裡，，不僅能接觸到澎湖陸地上的人文景緻，還能透過他們專業的帶領，一窺海洋世界的奇妙。
PADI澎湖興仁潛水訓練中心(有些活動有含住宿),介紹：/n興仁潛水是一家熱愛澎湖海洋之美的潛水中心，他們提供多種潛水活動，包括微旅行、學潛水或岸潛，並提供食宿三天的優惠價格。
喬米潛水 薰衣草海底郵筒浮潛 體驗潛水,介紹：/n喬米潛水是由麗喬有限公司經營的水域遊憩活動店面，他們提供多項潛水相關的服務，包括潛水訓練、旅遊潛水、潛水器材租賃和販售潛水裝備等。
澎湖潛水會,介紹：/n澎湖潛水會是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
琉浪潛水背包客棧Drift Diving Hostel,介紹：/n琉浪潛水是一家位於小琉球的潛水中心，他們提供自由潛水和水肺潛水的專業教學服務，並致力於讓學員更深入了解海洋的美麗，除了潛水課程，他們還提供舒適的背包客棧住宿，讓旅客能在小琉球感受家一般的溫暖和慢活的悠閒時光。
天天潛水,介紹：/n天天潛水是位於小琉球的潛水中心，他們於盛夏時分成立並在各位朋友的支持下茁壯成長，他們的初衷非常簡單，就是希望大家能來度假放鬆，體驗小島愜意的風格和生活，不論你是想體驗潛水、參加課程，或者只是想來聊天打招呼，他們都熱情歡迎你的到來。
奧之海潛水旅宿 Odyssey Divers Hostel,介紹：/n奧之海潛水旅宿以希臘史詩《奧德賽》為靈感命名，象徵著漫長探索的過程和史詩般的征程，他們相信人生就像一段旅程，而潛水更是一種令人著迷的冒險。在奧之海，他們提供潛水教學，但他們更重視教導學生對海洋的感恩、敬畏，以及對海洋生命的尊重和同理心，他們相信，如果每個潛水員都接受適當的教導和訓練，就能減少對海底生態的破壞和潛水意外的發生。
AIRTIME Diving 潛水工作室,介紹：/nAIRTIME Diving 潛水工作室是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
洋Free diving-高雄自由潛水 / 小琉球 / 墾丁,介紹：/n洋Free diving是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
琉影潛水,介紹：/n琉影潛水是一家提供PADI潛水教學、潛水旅遊、潛水攝影和潛水裝備買賣的公司，我們的專業團隊提供全方位的潛水體驗，從教學到旅遊，讓你深入海洋世界。
琉浪潛水背包客棧Drift Diving Hostel,介紹：/n遍歷世界，流浪卻無處安家；回到台灣小琉球，「琉浪潛水」誕生；教學潛水，讓海洋美不再陌生。
Shengdiving,介紹：/nShengdiving是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
鬥陣潛水小琉球分部,介紹：/n鬥陣潛水是一家專業潛水公司，注重運動教育和海洋運動，培養學員成為教練並關注環境保護，他們提供專業、安全、健康的潛水管道，讓更多人欣賞水下美景，共同維護海洋生態。
SaltyMind Freediving 鹹腦袋自由潛水,介紹：/nSaltyMind Freediving是一家潛水店家，由一群來自世界各地的教練團隊組成，他們致力於推廣自由潛水運動，並重視潛水安全的宣導，希望讓你的自潛旅程變得有趣且難忘。他們的教練團隊擁有豐富的教學經驗，在多個國家和地區教授過各式各樣的學生，他們與來自世界各地的教練們分享教學歷程，不斷學習和成長。
小琉球悠遊潛水,介紹：/n小琉球悠遊潛水專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
Free4Ocean 自由潛水,介紹：/nFree4Ocean 自由潛水專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
VD自由潛水【小琉球教室】| VD Freediving Taiwan,介紹：/nVD自由潛水是一家潛水店家，自2018年成立以來，他們一直堅信學習自由潛水有著更好的方式。他們深信知識帶來力量，當人們擁有更多的知識，就能夠不斷深化自我，探索更多的可能性，這就是VD Freediving持續進化的正向循環。
co_diving 自由潛水工作室,介紹：/nco_diving 自由潛水工作室是一家提供潛水課程、器材販售和維修服務的店家，擁有專業教練團隊，注重教學品質和安全，讓潛水愛好者能夠學習潛水技巧、購買潛水器材並獲得專業維修服務。
酷落潛水 Kuroshio Diving,介紹：/n酷落潛水是一家潛水店家，名稱取自台灣周圍的黑潮（Kuroshio），黑潮是一股帶有豐富養分的洋流，滋養著台灣的海洋生態系統，他們相信潛水最重要的養成時期是在這片浩瀚的大海中學習的，因此將公司名稱設為Kuroshio，以表達對這片大海的感激與敬意。
小琉球-小綠龜潛水,介紹：/n小綠龜潛水是一間位於小琉球的潛水店家，由一群熱愛潛水的在地漁夫所成立，由於長年在水下工作，他們對小琉球海域的地形、海流和生物種類非常熟悉，每次下潛，就像回到家中的後院一樣，可以隨心所欲地探索海底的美景，讓人感到自在和舒適。近年來，小琉球的綠蠵龜受到保護，數量逐年增加。多年來，綠蠵龜就像是他們的老朋友，在寂靜的夜晚陪伴著他們工作，因此，在漁業生涯結束、開展潛水觀光事業的同時，他們以「小綠龜」為名，將保護綠蠵龜視為自己的責任。
EXTD diving center 延伸潛水,介紹：/nEXTD diving center 延伸潛水專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
蜂潛水海洋俱樂部潛水中心,介紹：/n蜂潛水海洋俱樂部潛水中心專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
快樂小魚潛水教學中心,介紹：/n快樂小魚潛水教學中心是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
哈尼潛水 Hot Diving,介紹：/n哈尼潛水 Hot Diving是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
瘋潛雪 Fun Dive Ski,介紹：/n對於想要探索小琉球海洋世界的遊客，瘋潛雪提供完整的小琉球旅遊套裝，套裝包括住宿、機車租借、船票、浮潛、獨木舟、SUP（立式划槳）、自潛和深潛等活動，你可以自由選擇想要體驗的水上活動，並在專業教練的指導下深入探索海底的美景。此外，瘋潛雪還提供水肺潛水課程、導潛、船潛、岸潛和體驗潛水等服務，無論你是初學者還是有經驗的潛水員，他們都能根據你的需求提供適合的潛水體驗。
heyheyDive,介紹：/nheyheyDive是一家於2018年成立的品牌，專門提供自由潛水和水肺潛水課程教學，並且在台北、台中以及小琉球都有服務據點，他們的目標是以輕鬆有趣的方式，讓每位學員深入認識海洋的神秘世界。
白牌自由潛水中心,介紹：/n白牌自由潛水中心 ─ 小琉球唯一深水泳池的自由潛水教學中心！我們引以為傲的是擁有最新穎的設備、最安全的教學環境和最專業的教練群，致力於讓自由潛水這項運動更普及，並傳遞正確的自由潛水知識。
小琉球369浮潛店,介紹：/n369浮潛店的宗旨是讓更多人感受到海洋的美麗和神秘，我們嚴格遵守安全標準，確保每位客人在參與活動時都能享受樂趣的同時，保持安全無虞。我們的活動包含浮潛、遊艇、帆船、海上派對等，並努力為您提供最滿意的服務。
啾開心浮潛,介紹：/n啾開心浮潛是一家專業的潛水店，努力為潛水愛好者提供難忘的潛水體驗，他們的潛水教練和船員都經過專業的培訓，擁有豐富的潛水經驗和知識，能夠為潛水愛好者提供安全、舒適和有趣的潛水體驗。
Dive Buddy 自由潛水工作室&背包客棧,介紹：/nDiveBuddy是一家提供多樣化潛水服務的專業機構，擁有三個服務據點，分別位於台北、台中和小琉球。他們專注於AIDA系統潛水課程，無論你是初學者還是有經驗的自由潛水愛好者，他們都樂意與您攜手並肩，引領你進入潛水的奇妙領域，他們擁有經驗豐富的教練團隊，將以耐心且專業的態度，指導你掌握潛水技巧和安全知識，確保你在水下享受到最佳的潛水體驗。
流星潛水中心,介紹：/n流星潛水中心是一家提供全方位潛水體驗的專業機構，為你提供多種潛水相關服務，讓你在海洋的世界中尋找無盡的樂趣和刺激，服務內容包含體驗潛水、潛水訓練、住宿、器材出租等，在讓更多人體驗潛水樂趣的同時，他們也嚴格遵守安全守則，確保大家在參與活動時都能安全無虞。
小琉球潛吧潛水DIVE BAR,介紹：/nDive Bar是潛水世界的全方位服務提供者，提供潛水培訓、潛水裝備銷售和潛水活動企劃等多項專業服務，他們想讓更多人感受潛水的魅力和無窮樂趣，因此他們致力於提供最高品質的服務，確保客人在潛水中獲得最佳體驗。
潛境自由潛水,介紹：/n潛境自由潛水是一家專業的潛水店家，他們相信屏息一口氣下潛，是一種獨特的體驗，讓你在水中享受自在、感受水的溫度，專注於眼前的美景。因此他們的主要活動是自由潛水，這是一種極具挑戰性的潛水方式，你只靠屏息一口氣在水下進行探險，無需水肺等潛水裝備，這種獨特的潛水方式讓你更貼近海洋，與海底生物建立更親密的連結，感受大自然的神秘和寧靜。
島氮潛水社 Playful Dive Club,介紹：/n島氮潛水社是一家位於小琉球的水肺潛水店，擁有潛水俱樂部的理念，致力於為每位來訪的客人和學生打造一個充實有收穫的潛水旅程。在島氮潛水社，他們相信潛水是一種獨特的體驗，可以讓你探索未知的領域，發現新奇有趣的東西。無論你是潛水初學者，還是有經驗的潛水員，他們都將以專業的態度和熱情的服務，為你提供安全、刺激和難忘的潛水體驗。
小琉球 小丑魚浮潛,介紹：/n小丑魚浮潛是一家專業的潛水中心，提供輕鬆上手的浮潛體驗，讓你在不會游泳的情況下也能輕鬆享受美麗的海洋世界，無論你是初次嘗試浮潛，還是有經驗的潛水員，他們都歡迎你加入他們的行列，小丑魚浮潛將帶領你悠遊在這片珊瑚礁的美麗海域，親自親近海洋世界的繽紛與多樣性。
DEEPSOUL,介紹：/nDeep Soul是一家專業的潛水中心，為你帶來獨特的潛水體驗，他們將帶領你進入深海的神秘領域，探索未知而趨近於黑暗的美麗海底世界。在水中，透過透光層的背後，光線逐步遞減，眼前是一片充滿未知和神秘的深海。他們將帶領您穿越這片黑暗，同時讓你在潛水的過程中回憶起波光粼粼的美景，這是一種靈魂深處的感受，所以他們將自己命名為Deep Soul。
蹼客基地,介紹：/n蹼客基地專注於潛水教學和旅遊，提供多種潛水課程和精心挑選的海洋旅遊活動，並以客戶滿意度為首要目標，致力於提供安全、專業和個人化的潛水體驗。
阿貴潛水中心,介紹：/n阿貴潛水是一家熱愛潛水的專業店家，致力於讓你的潛水生涯從內心深處感動開始。他們相信體驗潛水是一個最棒的開端，一個探索海洋美妙世界的契機，無論你是初次嘗試潛水還是有經驗的潛水員，只要你會呼吸且身體健康，他們都樂意帶領你展開這段令人難忘的潛水旅程。
Freedive Nomad Taiwan,介紹：/nFreedive Nomad Taiwan是一家由外國人開設的潛水店，他們明白初學者初次潛水，進入從未達到過的深海可能會害怕，因此他們的自由潛水課程設計得更加貼心和個性化。相較於傳統的自由潛水課程，他們的課程最多只會有一名學生，這樣可以確保課程的節奏符合你的舒適程度，教練將根據你的適應度來調整課程，並盡可能保持靈活和耐心，讓你進入美妙的自由潛水世界的旅程更加愉快和順暢。
O2潛水俱樂部,介紹：/nO2潛水俱樂部提供AIDA自由潛水課程和PADI水肺潛水課程，讓你可以根據自己的喜好和需求選擇合適的潛水體驗，無論你是想挑戰自我，體驗自由潛水的神秘魅力，還是想學習水肺潛水的技巧，他們都有專業的教練團隊，為你提供最優質的教學和指導，除了潛水課程，他們還提供背包房住宿服務，讓你可以輕鬆安排行程，將潛水體驗和住宿結合在一起，讓你的潛水之旅更加便利和舒適。
萊這哩浮潛,介紹：/n萊這哩浮潛深知潛水是一種獨特的體驗，能夠讓你近距離欣賞海洋的美妙和神秘，他們相信每位潛水朋友都應該得到最優質的服務和照顧，因此他們用最真誠的心，以及專業的態度，來為你提供無與倫比的潛水體驗，無論你是潛水初學者還是有經驗的潛水員，他們都樂意為你量身打造適合的潛水行程，他們擁有經驗豐富的教練團隊，將耐心指導你學習潛水技巧，並確保你在水中的安全和舒適。
琉潛貨櫃潛水旅宿 Liuqiu Dive,介紹：/n琉潛貨櫃潛水旅宿的海域底下是一片忙碌的海龜遊樂場，你將有機會近距離觀察海龜在淺淺的海域大口吃著海草的可愛模樣，有時候，他們會把頭埋進珊瑚裡偷懶，不想上班，有時候則是在潛水員旁邊轉來轉去，與你互動。無論你是否感到鬱悶，這座龜島總是等著你回來，在琉潛貨櫃潛水旅宿，他們相信潛水是一種治療心靈的方式，讓你可以遠離煩憂，感受大自然的美好。
小琉球潛水阿貴民宿 包棟住宿 / 潛水體驗 / 旅遊,介紹：/n阿貴民宿位於小琉球漁福村，鄰近漁福漁港和熱門的潮間帶導覽區，提供舒適房間，潛水船服務以及浮潛、潮間帶導覽等活動，為遊客打造放鬆愉快的小琉球之旅。
海之家潛水店,介紹：/n海之家潛水店是一家專業的潛水中心，提供輕鬆上手的浮潛體驗，讓你在不會游泳的情況下也能輕鬆享受美麗的海洋世界，無論你是初次嘗試浮潛，還是有經驗的潛水員，他們都歡迎你加入他們的行列，他們將帶領你悠遊在這片珊瑚礁的美麗海域，親自親近海洋世界的繽紛與多樣性。
舶琉潛水浮潛/體驗潛水/海底漫步/SUP立槳/ 獨木舟/遊艇包船,介紹：/n舶琉潛水中心是一家多元化的潛水中心，為你提供豐富多樣的水上活動和特殊體驗。在舶琉潛水中心你可以嘗試體驗潛水、浮潛、SUP(立槳衝浪)、海底漫步等各種刺激又有趣的水上活動，讓你在海洋中盡情玩樂和探索，如果你喜歡挑戰自我，我們提供5合1的總滙行程，包括船遊、立槳衝浪、獨木舟划行、浮潛、跳水以及品嘗美味的龍蝦麵，讓你一次滿足多種水上體驗。
大眾浮潛,介紹：/n大眾潛水是一家扶潛店家，他們相信浮潛是一種輕鬆愉快又容易上手的水下活動，適合任何年齡層和潛水程度的朋友參加，無需特殊訓練和專業裝備，只要會游泳且身體健康，你就可以輕鬆地參與浮潛活動，欣賞美麗的海底風光。他們提供多樣化的浮潛行程，包括在小琉球等知名潛水勝地進行浮潛，讓有機會近距離觀察海洋生物，欣賞美麗的珊瑚礁，以及沉浸在清澈湛藍的海水中。我們的專業浮潛教練將會為您提供詳細的指導和安全指引，確保您在水下的安全和舒適。
Om Space 平行時空 ,介紹：/nOm Space 平行時空，以海洋為主題，帶你體驗海洋世界的神秘與美妙，透過潛水，打開與海洋的連結，進入另一種「平行時空」，感受不同的空間體驗，名稱「Om」源自瑜珈音節，象徵與宇宙的連結，讓您進入內太空的奇幻冒險。
