關鍵字,回應
公館鼻後礁,"介紹：\n
公館鼻為綠島東北岸，海底礁石多、地形變化大，以表覆形石珊瑚為主，主要特色為群礁夾雜礫灘等地形，火成岩地形發達，更因海蝕作用發展出獨特的海蝕景觀，適合浮潛、初級水肺潛水，近岸海底和大礁岩之間為平台地形以硬珊瑚為主，適合岸潛及夜潛。\n

注意事項：\n
1. 最大深度 12.8 米\n
2. 離岸邊不遠，但高低落差極大、崎嶇難行，建議船潛會更安全好玩。\n
3. 此區在東北季風盛起時，也不建議安排潛水活動。"
石朗(海底郵筒＆海洋之心),"介紹：\n
石朗一帶為軟珊瑚礁群海岸，海岸線平緩綿延，海底設置了世界最深11米的豆丁海馬海底郵筒，可以投遞專用防水明信片，當親友收到綠島鹹鹹海味的明信片時，相信會給人留下難忘深刻的體驗，還有具有人工漁礁功能的「海洋之心」裝置藝術，將成為浪漫婚紗的水下拍攝熱點。附近有太平洋黑潮北流通過，周邊有著多樣的環狀珊瑚礁，以及各種魚群，岸上的珊瑚礁群與淺灣的珊瑚礁緊密相連，也有較多珍貴的軟硬珊瑚與優遊其間的小魚，形成優美的海底景觀。\n

注意事項：\n
1. 最大深度 12米\n
2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒"
樓門岩,"介紹：\n
樓門岩位於綠島東北角海岸外約300公尺處，是一連串突出海面小珊瑚礁岩塊群，而其中最高大一塊經過海浪擊打侵蝕，中央地方貫穿成圓洞，海流會由此通過，遠望狀似拱門，像拱門一樣，因此被稱為「樓門岩」，為綠島最有名的兩大奇岩之一。 \n

注意事項：\n
1. 最大深度為62米\n
2. 由於水流強勁，因此一般只有在背流區才適合進行潛水活動。"
三塊石,"介紹：\n
位於樓門岩東北方的一座外礁，是所有外礁潛點中距離綠島最遠的一點，礁石頂端有三塊岩石由南至北露出水面，入水後水深呈階梯狀從24米、30米、50米往下墜至65米，尤其在礁石南北側峭壁，並未有任何緩衝礁坪，可從凸出水面的石塊直接下切到60米以下的深度，海流為由南向北流動的黑潮主流，特色生物大部分為刺尾鯛科與烏尾鮗科的魚種，另有鯖魚科的魚種也會在此洄游。\n

注意事項：\n
1. 最大深度約65米\n
2. 隨時注意天氣狀況，如果海象不好時，絕對不能強行下水。"
大白沙潛水區,"介紹：\n
位於樓門岩東北方的一座外礁，是所有外礁潛點中距離綠島最遠的一點，礁石頂端有三塊岩石由南至北露出水面，入水後水深呈階梯狀從24米、30米、50米往下墜至65米，尤其在礁石南北側峭壁，並未有任何緩衝礁坪，可從凸出水面的石塊直接下切到60米以下的深度，海流為由南向北流動的黑潮主流，特色生物大部分為刺尾鯛科與烏尾鮗科的魚種，另有鯖魚科的魚種也會在此洄游。\n

注意事項：\n
1. 最大深度約65米\n
2. 隨時注意天氣狀況，如果海象不好時，絕對不能強行下水。"
柚子湖,"介紹：\n
柚子湖旁的海景是全綠島最自然、最富變化的海岸，有珊瑚裙礁、白色珊瑚礁貝砂灘、黑色油子湖集塊岩及海蝕洞、火山岩頸等地質景觀。附近有海蝕洞，洞前有裙狀的珊瑚礁石，造型更是千奇百怪，也是觀察潮間帶生物與螃蟹的極好地點。\n

注意事項：\n
1. 最大深度約40米\n 
2. 路段崎嶇不平層層礁岩，一定要注意好自身的腳步，建議穿著溯溪鞋或是防滑鞋。"
柴口浮潛區,"介紹：\n
柴口浮潛區是綠島三大潛水區最北端的一處潛點，以壯麗的石珊瑚景觀著稱，海水深淺變化具有層次感，是一個天然完美的賞遊地點。每年六月至八月強勁的西南風吹拂綠島時，選擇避風面的柴口浮潛區是絕佳浮潛區。此外，綠島民宿業者多集中於此，浮潛後可直接回民宿沖洗，十分方便。\n

注意事項：\n
1.最大深度約20米\n
2.這邊是屬於保育區，因此禁止抓捕魚類或生物。\n
3. 以珊瑚礁岩地形為主，岸邊有一些小碎石的沙灘會刺腳，需要小心。"
海底郵筒,"介紹：\n
石朗一帶為軟珊瑚礁群海岸，海岸線平緩綿延，海底設置了世界最深11米的豆丁海馬海底郵筒，可以投遞專用防水明信片，當親友收到綠島鹹鹹海味的明信片時，相信會給人留下難忘深刻的體驗，還有具有人工漁礁功能的「海洋之心」裝置藝術，將成為浪漫婚紗的水下拍攝熱點。附近有太平洋黑潮北流通過，周邊有著多樣的環狀珊瑚礁，以及各種魚群，岸上的珊瑚礁群與淺灣的珊瑚礁緊密相連，也有較多珍貴的軟硬珊瑚與優遊其間的小魚，形成優美的海底景觀。\n

注意事項：\n
1. 最大深度 12米\n
2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒。"
海洋之心,"介紹：\n
石朗一帶為軟珊瑚礁群海岸，海岸線平緩綿延，海底設置了世界最深11米的豆丁海馬海底郵筒，可以投遞專用防水明信片，當親友收到綠島鹹鹹海味的明信片時，相信會給人留下難忘深刻的體驗，還有具有人工漁礁功能的「海洋之心」裝置藝術，將成為浪漫婚紗的水下拍攝熱點。附近有太平洋黑潮北流通過，周邊有著多樣的環狀珊瑚礁，以及各種魚群，岸上的珊瑚礁群與淺灣的珊瑚礁緊密相連，也有較多珍貴的軟硬珊瑚與優遊其間的小魚，形成優美的海底景觀。\n

注意事項：\n
1. 最大深度 12米\n
2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒。"
花瓶岩,"介紹：\n
花瓶岩為小琉球最顯眼、最著名的地標。是一塊珊瑚礁岩，因長期受海水差異性侵蝕，而形成頭大身小的外觀，奇花異草叢生其間，使岩石看起來如同插有花草的花瓶造型，因此取名為『花瓶石』。\n

注意事項：\n
1. 最大深度約12米\n
2. 大潮、漲退潮期間，時常有強流出現，下水必須額外謹慎小心。\n
3. 注意附近有觀光船航行，不適合游太外面。"
中澳,"介紹：\n
中澳沙灘位於琉球嶼東北側，一眼望去海水非常透徹，且有一大片的白色沙灘，上有滿滿的珊瑚碎屑跟貝類，沙灘上還可以看到各式各樣美麗的白化珊瑚，中澳沙灘的沙岸淺而長浪也不大，海水透明的像似乾淨的河水，能盡情玩水玩沙，小琉球最重要的生物「綠蠵龜」產卵也是在這沙灘。\n

注意事項：\n
1. 最大深度約26米\n
2.綠蠵龜為我國保育類動物，每年夏季是交配、產卵期，為了能保育生態，屏東縣政府規定每年5月1日起至同年10月31日止，一般民眾及遊客自晚上8:00到隔天凌晨5點之間禁止擅入沙灘及潮間帶。"
電廠,"介紹：\n
無\n

注意事項：\n
無\n"
厚石,"介紹：\n
厚石魚澳因四面礁岩左右圍繞，形成一個天然泳池，位在南面的厚石群礁，是冬天躲避北浪的好地方，此點是初學者練浮潛最佳地點之一，水清透徹、優美海岸、特殊地形。上下岸很容易，適合親子。\n

注意事項：\n
1. 最大深度約10米\n
2. 群礁岩較為尖銳、鋒利，需要小心小心不要被岩石刮傷。"
海子口,"介紹：\n
海子口位在位於琉球嶼的最南端，是小琉球少數較有地形變化的潛點。港口兩側為消波塊，海水相當潔淨清澈，是小琉球當地極佳的天然浴場，更建有涼亭供遊客休憩賞景，隨處可見小漁船於岸邊停泊，非常適合旅人戲水、賞景及從事海釣等活動。雖然海子口漁港已較少使用，但若從港內下水游出，有時還是會碰上舢舨出入，也是違反法條。建議可挑浪平的時候，從港口左側的礁岩上下岸。\n

注意事項：\n
1. 若從港內下水游出，有時還是會碰上舢舨出入，也是違反法條。建議可挑浪平的時候，從港口左側的礁岩上下岸。"
多仔坪,"介紹：\n
仔坪潮間帶在小琉球是探訪潮間帶相當受歡迎的生態活動，海岸邊是刺狀的珊瑚礁地形，有些地方的珊瑚礁台地面比海灘還要高，受到海浪的侵蝕，形成凹壁。每天漲退潮時間都不一樣，所以參與潮間帶的時間每天也都不相同，有時在白天、有時在晚上。\n

注意事項：\n
1. 最大深度約20米\n
2. 因凹凸不平，有點像是小懸涯的感覺，在這邊走路要特別小心。"
龍蝦洞,"介紹：\n
龍蝦洞位於小琉球的東北方，是小琉球島上一處天然的海蝕洞，是一處遍布壺穴及海蝕溝的珊瑚礁海岸地形，為IG熱門拍照打卡景點，此處早期是居民捕捉龍蝦的地方，雖說現在看不太到龍蝦，但景觀卻獨特有魅力，海水清澈冰涼消暑，來這踩水也很涼爽。\n

注意事項：\n
1. 最大深度約25米\n
2. 如果是初學者，建議最好有當地的導潛帶領下水，以保證安全。\n
3. 會有一些頂流，因此需要有一定的技巧和準備。"
杉福,"介紹：\n
位於小琉球的西邊海域，陽光穿透清徹的海水，這裡的沙灘純白，就跟大多數的小琉球沙灘一樣，是珊瑚礁石貝殼砂，非常美麗！擁有多元、完整的海蝕地形，總吸引不少遊客潛水。\n
 
注意事項：\n
1. 最大深度約16米\n
2. 這裡是海龜很重要的棲息地，請注意賞龜距離，要避免碰觸海龜或驚嚇到龜群。"
浮潛秘境海底郵筒,"介紹：\n
澎湖海底郵筒是全台第一個設置於水底的郵筒，從山水沙灘潛水到位於離岸150公尺處的海底郵筒，郵筒外層還貼滿繽紛的馬賽克磚，同時結合了水下裝置藝術與珊瑚礁復育的功能，目前也成為澎湖熱門景點之一。\n

注意事項：\n
1.最大深度約10米\n
2.浮潛或潛水初學者的好地方，建議一定要教練帶比較安全。\n
3.此潛水區海水混濁，能見度低。"
杭灣,"介紹：\n
杭灣是礁岩區，有壯麗的玄武岩可以欣賞，海床上孕育豐富的珊瑚，藍色珊瑚礁盈瑩搖曳著，珊瑚覆蓋率高達百分之七十以上，也可以勇於跳入水面之下，與珊瑚群一起悠游，藍海面底下，熱帶魚、魔鬼海膽、藍色珊瑚礁就會緊緊圍繞著，體驗前所未有的海底世界，就在山水沙灘到鎖港海岸間，有兩處陽光阿有熟悉的秘密基地。\n

注意事項：\n
1. 腳下岩石多需小心\n
2. 此潛水區海水混濁，能見度低。"
月鯉灣,"介紹：\n
月鯉灣位在七美鄉，東面臨海有著佈滿白色珊瑚碎屑的海灘，可以欣賞到無敵的海景，水質超清澈，也是有點漸層色的海邊，沙灘是夢幻白色的貝殼珊瑚礁沙灘，且海岸線比較沒有被開發與破壞，這邊可以看到豐富的珊瑚礁群，是七美導主要的潛水地點，並蘊藏豐富的海洋生態。鄰近海岸有多樣化的柱狀玄武岩，包括放射狀及交錯狀等形態，值得遊賞。\n

注意事項：\n
1. 建議找教練來浮潛比較安全一點，因為附近沒有救生員。\n
2. 岸邊是粗的珊瑚礁沙灘很刺腳，記得要穿鞋來到岸邊。"
南方四島,"介紹：\n
南方四島位於「南方四島國家公園」，包含東嶼坪嶼、西嶼坪嶼、東吉嶼、西吉嶼合稱澎湖南方四島，各島生態資源豐富、美景目不暇給，無論是自然生態、地質景觀或人文史跡等資源，都維持著原始、低污染的天然樣貌，這些小島就像散落在大海裡的藍寶石一般珍貴而閃耀。\n

注意事項：\n
1.容易有強流，不適特殊專業人士不要前往\n
2.當天需確認好風浪狀況，以免發生危險"
薰衣草森林,"介紹：\n
這片美景就在「南方四島國家公園」之中，從東嶼坪往下潛，便能欣賞到整片紫色鹿角珊瑚群，清澈的水質孕育豐富的海洋生態，珊瑚覆蓋率很高，不下水也能清楚看見珊瑚礁群，且海底生態多樣，光是珊瑚就有數十種，也能看到各式各樣的海底生物，宛如徜徉在童話故事中的水下世界般。\n

注意事項：\n
1. 最大深度約5米\n
2. 要自備蛙鞋，且要非常小心，不要傷到珊瑚。"
東西吉廊道,"介紹：\n
澎湖南方四島國家公園中的「東西吉廊道」，是位於東吉嶼和西吉嶼中間的海域，魚群多，亦是台灣最夯的潛水景點，但流強多，得算準潮汐且要是經驗豐富的潛水員，才能前往此點。\n

注意事項：\n
1. 最大深度約25米\n
2. 流強多，必須要是專業潛水員"
基隆潮境公園,"介紹：\n
潮境公園位於基隆市，對於沒有多次潛水經驗的潛水愛好者而言，是一個不錯的初級潛點。這裡擁有天然的灣澳地形，適合觀賞魚群，可以看到海蛞蝓、管蟲、海膽、海葵、海百合等生物。如果潛近祕密花園，還能欣賞到更多令人驚豔的海底生物，如巨大海扇群、木瓜河豚、小丑魚、濟公魚和美麗的海蘋果。\n

注意事項：\n
1.深度約為25米\n
2.地勢落差約20公尺，路面也不平坦，因此需要特別小心\n
3.此為海洋保育區，全年禁止採捕\n
4.綠苔會滑，請勿奔跑"
基隆平浪橋,"介紹：\n
基隆潮境公園旁有一座不起眼的橋樑，名為「平浪橋」或被稱為「彩虹橋」。這座橋橫跨在長潭里漁港航道上方，像是小漁港的閘門，守護著漁村狹長的碼頭出入口，漁船會從橋下的長方形門洞進出。\n

注意事項：\n
1.尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態\n
2.注意當天的水質和能見度情況"
花園二號,"介紹：\n
無\n

注意事項：\n
無"
祕密花園,"介紹：\n
這裡最受歡迎的景點是海蘋果，下潛遇到兩條海溝後，探索海蘋果的獨立礁石，周圍還可見到蝴蝶魚、鋸尾鯛等壯觀的魚群和其他生物，不同季節還有不同的觀賞點，如虎斑烏賊產卵、烏尾冬和紅魽群等。同時，來到這裡也可以欣賞到獨特的軟絲產房景觀。\n

注意事項：\n
1.此處底質偏泥，隨著漲退潮會帶起泥沙，身處其中能見度極低\n
2.避免進入航道範圍\n
3.穿著蛙鞋需注意，避免碰觸到珊瑚"
花牆,"介紹：\n
龜山島對向的秘境潛點，20米以上的絕佳能見度，豐富多樣的海洋生態包括珊瑚、海蛞蝓、海鰻、龍蝦和土魟，讓潛水愛好者享受美好的潛水體驗。\n

注意事項：\n
1.尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態\n
2.注意當天的水質和能見度情況"
油庫口,"介紹：\n
無\n

注意事項：\n
無"
鋼鐵礁,"介紹：\n
位於基隆潮境公園外海，是除了綠島和小琉球之外的鋼鐵礁。鋼鐵礁有三層，第二層約有30米而到了第三層約有35米，而此地魚類生態算是豐富但須注意東北季風時，能見度非常低。\n

注意事項：\n
1.深度約為35米\n
2.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
3.東北季風時，能見度非常低"
海建號沈船,"介紹：\n
海建號前身為水試所實驗船，並於2013年成為人工魚礁。而此潛點魚群眾多，最常見的當屬竹莢魚、烏尾鯟、紅甘、燕魚等，不過要注意此處常年能見度不佳，需找專業教練為佳。\n

注意事項：\n
1.因能見度不佳，建議攜帶兩支以上手電筒\n
2.艦橋有設置下潛繩、遭遇強流時可依此下潛，以免錯失潛點\n
3.僅能船前抵達"
鋼鐵屋,"介紹：\n
無\n

注意事項：\n
無"
鼻頭角公園,"介紹：\n
鼻頭角公園位於基隆市，是一個海岸公園。公園以其位於基隆市東北角地區的鼻頭角地形而得名。除了多變的地形外，其外圍有礁岩阻隔外海所以風浪相對小、安全性也夠更有豐富的魚群，所以吸引了許多人來潛水。\n

注意事項：\n
1.深度約為25公尺米\n
2.做好防曬、多補充水分\n
3.注意貴重物品"
蝙蝠洞公園,"介紹：\n
蝙蝠洞公園內有一個天然形成的洞穴，是許多蝙蝠的棲息地，因此得名。不僅如此這裡還擁有豐富的海底資源，在此進行潛水活動時可觀察到許多貝類、魚類、軟絲等。但因地形特殊，被歸類為進階的潛點。\n

注意事項：\n
1.深度約為18米\n
2.容易有暗流產生\n
3.注意瘋狗浪"
龍洞灣,"介紹：\n
龍洞灣是基隆市的海灣，以其壯觀的龍洞岩和美麗的海灘聞名。此區是北部主要潛水基地，潛店密度全台位居第一。因地形關係不太會遇到強近海流，水質清澈且海底生態豐富，因此吸引許多潛客。\n

注意事項：
1.深度約為15~25米\n
2.熟悉當地的海流和潮汐情況，避免強大的海流或潮汐影響潛水安全\n
3.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
4.做好防曬、多補充水分"
龍洞1號,"介紹：\n
位於龍洞灣公園內泳池外側。此處屬於官方認證的安全海域，適合新手用於訓練，且因其地形為Z字形，有許多峽谷、峭壁，潛水者可以在峭壁上看到許多顏色艷麗的軟珊瑚。\n

注意事項：\n
1.深度約為16-18米\n
2.此地車輛無法到達\n
3.入園須收門票錢\n
4.不能攜帶外食\n
5.請勿攜帶撈網及捕撈用具進入"
龍洞1.5號,"介紹：\n
位在龍洞灣公園旁，潛水客棧正對面。它位在1號和2號之間，所以才被潛水員稱為1.5號。在此處有機會觀察到軟絲生態，因每年皆有固定施放軟絲復育產房
，而礁石間也可以觀察到許多微生物。\n

注意事項：\n
1.觀察軟絲產房生態復育活動時應儘量減少干擾\n
2.東北季風影響時，迎風面浪大"
龍洞2號,"介紹：\n
龍洞灣公園入口處右側小路下至海邊，可穿過九孔池右側礁石進入水道。這個地方有數塊暗礁，水深不超過一米。在風浪較大的情況下，可能會產生不規則的亂流，新手需要特別小心。這個地方主要有雀鯛魚類，海星隨處可見，還有獅子魚和石狗公都有較高的出現機率。\n

注意事項：\n
1.注意不規則的亂流\n
2.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
3.做好防曬、多補充水分"
龍洞3號,"介紹：\n
位於龍洞漁港面海的右邊，上下岸方便，是初級潛水的好地方。也因此處地形安全，吸引了許多潛水人員，但如今龍洞3號已沒什麼魚，而且經常是水母、且垃圾較多。\n

注意事項：\n
1.做好防曬、多補充水分\n
2.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境"
龍洞4號,"介紹：\n
此潛點龍洞街底和美國小旁，此處地形單純適合初級潛水員。在這個潛點礁頂上有一些常見的魚類，如天竺鯛、笛鯛和雀鯛等，礁石上也有各種海蛞蝓和彩虹色的臘膜蝦，五月或九月還有可能看到紅魽魚群迴遊，六月份則有花焰火枝的出現。\n

注意事項：\n
1.深度約為18米\n
2.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
3.做好防曬、多補充水分"
蚊子坑,"介紹：\n
蚊子坑位在龍洞南口公園至和美社區83.9K處，相較其它潛點來說出入水簡單。雖然此處沒有瑰麗的海洋奇景，但可觀察到小丑魚、石狗公和許多繽紛小魚群，
豐富的物種使這裡總是蓬勃朝氣、盎然生機。\n

注意事項：\n
1.深度約為18米\n
2.保持良好中性浮力，不要破壞到海洋生態\n
3.做好防曬、多補充水分"
水晶宮,"介紹：\n
這裡有許多繽紛炫目的軟體與海扇群，最著名的是2米的大海扇。而礁岩中布滿許多小丑魚和海葵，有時更可以遇見各式魚群的拜訪，是北部知名的潛點。\n

注意事項：\n
1.確保您的潛水設備完好且正確運作\n
2.在上升時，請遵循安全上升速度\n
3.事先計劃好潛水行程"
象鼻岩放流點,"介紹：\n
位於新北瑞芳深澳漁港旁的海岬，海底生態豐富不僅有保育類的遊隼可看外，還有許多美麗的魚群，且這裡不只可以潛水，還可以從事獨木舟的活動。\n

注意事項：\n	
1.禁止攀岩\n
2.垃圾不落地\n
3.確保你身體狀況良好"
玫瑰花園,"介紹：\n
此潛點因礁岩覆蓋著大片珊瑚而聞名，不僅且停車方便且下水點好找，屬於自由潛水新手就可挑戰的地方，雖然能見度變化無常但海洋樣貌多樣還可欣賞沉船殘骸\n

注意事項：\n
1.深度約8~10米\n
2.避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境"
豆腐岬公園,"介紹：\n
宜蘭豆腐岬是一個位於東北角海岸線上的海蝕地形，以其奇特的地質景觀和豆腐般的形狀而聞名。這個潛水點的海域水質清澈，可在此海域中探索珊瑚礁、岩石地形、海藻床和各種海洋生物。且這個區域的水域相對平靜，使得潛水者可以享受到相對輕鬆和安全的潛水經驗。\n

注意事項：\n
1.做好防曬、多補充水分\n
2.避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境"
粉鳥林,"介紹：\n
蘇澳鎮粉鳥林位於宜蘭縣東北部，獨特隱蔽的地理位置。粉鳥林這個潛水點以其壯觀的海底溝壑、珊瑚礁和多樣化的海洋生物而聞名，潛水者可以穿梭於狹窄的海底溝壑中，探索岩石間的縫隙和海洞。\n

注意事項：\n
1.下水點近岸50米內 深度約5~12米不等\n
2.須注意有海扇跟海鞭的地方海流快且亂\n
3.建議夏天或是吹南風西南風時下水"
石梯坪,"介紹：\n
石梯坪有長年經風力和海水雕刻而成的特殊沿岸風景，且潮間帶生態資源豐富有螃蟹、海星、海參、寄居蟹，不僅如此海底也蘊藏豐富的珊瑚礁群和熱帶魚群，是潛水愛好者的天堂\n

注意事項：\n
1.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
2.做好防曬、多補充水分\n
3.垃圾不落地"
杉原灣,"介紹：\n
位於杉原美麗灣一旁的礁岩海域。這片海域的軟、硬珊瑚覆蓋率非常高且種類極其多元甚至贏過蘭嶼和綠島，但近海能見度不高要稍微往外海游去，水質就會逐漸變清澈。\n

注意事項：\n
1.浮潛踢水時要格外小心，不要踢到珊瑚\n
2.近海能見度低要注意"
三仙台,"介紹：\n
位於台東縣成功鎮的三仙台，此區域周邊海底生態相當豐富有相當多的魚類及海蛞蝓，最特別的是此處可目擊到國際聞名的「豆丁海馬」和大量的海扇珊瑚，高度超過一公尺，分布在周邊礁岩。\n

注意事項：\n
1.潮間帶礁岩濕滑，請勿奔跑\n
2.避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n
3.不輕易觸碰任何不明之海洋生物"
中寮漁港,"介紹：\n
位於綠島燈塔附近的著名景點，現今是一個閒置的小港。港內風平浪靜下水容易且水質清澈，加上中寮港的無脊椎動物非常豐富，因此吸引了許多潛水新手來浮淺，欣賞此處的海底風光。\n

注意事項：\n
1.有時候有居民在港內佈網，在下水前須小心觀察港內與周邊狀況。\n
2.做好防曬、多補充水分\n
3.須小心底下尖銳的礁石"
黑毛礁,"介紹：\n
黑毛礁位於綠島的柴口保育區，其特色為由上而下排列的巨型團塊微孔形成的礁石，且魚種相當豐富，有機會目擊到海龜、海蛇、章魚、海蛞蝓、豆丁海馬等，是一個絕佳的潛水地點。\n

注意事項：\n
1.不輕易觸碰任何不明之海洋生物\n
2.綁下潛繩時應挑選非敏感的礁石"
