關鍵字,回應
浮潛秘境海底郵筒,注意事項：\n1. 最大深度約10米\n2. 浮潛或潛水初學者的好地方，建議一定要教練帶比較安全。\n3. 此潛水區海水混濁，能見度低。
杭灣,注意事項：\n1. 腳下岩石多需小心\n2. 此潛水區海水混濁，能見度低。
月鯉灣,注意事項：\n1. 建議找教練來浮潛比較安全一點，因為附近沒有救生員。\n2. 岸邊是粗的珊瑚礁沙灘很刺腳，記得要穿鞋來到岸邊。
南方四島,注意事項：\n1. 容易有強流，不適特殊專業人士不要前往\n2. 當天需確認好風浪狀況，以免發生危險
薰衣草森林,注意事項：\n1. 最大深度約5米\n2. 要自備蛙鞋，且要非常小心，不要傷到珊瑚。
東西吉廊道,注意事項：\n1. 最大深度約25米\n2. 流強多，必須要是專業潛水員
基隆潮境公園,注意事項：\n1. 深度約為25米\n2. 地勢落差約20公尺，路面也不平坦，因此需要特別小心\n3. 此為海洋保育區，全年禁止採捕\n4. 綠苔會滑，請勿奔跑
基隆平浪橋,注意事項：\n1. 尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態\n2. 注意當天的水質和能見度情況
花園二號,無。
祕密花園,注意事項：\n1. 此處底質偏泥，隨著漲退潮會帶起泥沙，身處其中能見度極低\n2. 避免進入航道範圍\n3. 穿著蛙鞋需注意，避免碰觸到珊瑚
花牆,注意事項：\n1. 尊重海洋生物和環境，不觸碰或破壞珊瑚礁和其他海洋生態\n2. 注意當天的水質和能見度情況
油庫口,無。
鋼鐵礁,注意事項：\n1. 深度約為35米\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n3. 東北季風時，能見度非常低
海建號沈船,注意事項：\n1. 因能見度不佳，建議攜帶兩支以上手電筒\n2. 艦橋有設置下潛繩、遭遇強流時可依此下潛，以免錯失潛點\n3. 僅能船前抵達
鋼鐵屋,無。
鼻頭角公園,注意事項：\n1. 深度約為25公尺米\n2. 做好防曬、多補充水分\n3. 注意貴重物品
蝙蝠洞公園,注意事項：\n1. 深度約為18米\n2. 容易有暗流產生\n3. 注意瘋狗浪
龍洞灣,注意事項：\n1. 深度約為15~25米\n2. 熟悉當地的海流和潮汐情況，避免強大的海流或潮汐影響潛水安全\n3. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n4. 做好防曬、多補充水分
龍洞1號,注意事項：\n1. 深度約為16-18米\n2. 此地車輛無法到達\n3. 入園須收門票錢\n4. 不能攜帶外食\n5. 請勿攜帶撈網及捕撈用具進入
龍洞1.5號,注意事項：\n1. 觀察軟絲產房生態復育活動時應儘量減少干擾\n2. 東北季風影響時，迎風面浪大
龍洞2號,注意事項：\n1. 注意不規則的亂流\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n3. 做好防曬、多補充水分
龍洞3號,注意事項：\n1. 做好防曬、多補充水分\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
龍洞4號,注意事項：\n1. 深度約為18米\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n3. 做好防曬、多補充水分
蚊子坑,注意事項：\n1. 深度約為18米\n2. 保持良好中性浮力，不要破壞到海洋生態\n3. 做好防曬、多補充水分
水晶宮,注意事項：\n1. 確保您的潛水設備完好且正確運作\n2. 在上升時，請遵循安全上升速度\n3. 事先計劃好潛水行程
象鼻岩放流點,注意事項：\n1. 禁止攀岩\n2. 垃圾不落地\n3. 確保你身體狀況良好
玫瑰花園,注意事項：\n1. 深度約8~10米\n2. 避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境
豆腐岬公園,注意事項：\n1. 做好防曬、多補充水分\n2. 避免觸摸或破壞珊瑚礁和其他生態系統，保護海洋生物和生態環境
粉鳥林,注意事項：\n1. 下水點近岸50米內 深度約5~12米不等\n2. 須注意有海扇跟海鞭的地方海流快且亂\n3. 建議夏天或是吹南風西南風時下水
石梯坪,注意事項：\n1. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n2. 做好防曬、多補充水分\n3. 垃圾不落地
杉原灣,注意事項：\n1. 浮潛踢水時要格外小心，不要踢到珊瑚\n2. 近海能見度低要注意
三仙台,注意事項：\n1. 潮間帶礁岩濕滑，請勿奔跑\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境\n3. 不輕易觸碰任何不明之海洋生物
中寮漁港,注意事項：\n1. 有時候有居民在港內佈網，在下水前須小心觀察港內與周邊狀況。\n2. 做好防曬、多補充水分\n3. 須小心底下尖銳的礁石
黑毛礁,注意事項：\n1. 不輕易觸碰任何不明之海洋生物\n2. 綁下潛繩時應挑選非敏感的礁石
柴口,注意事項：\n1. 須注意水深的變化\n2. 請勿攜帶海洋生物回家\n3. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
公館鼻,注意事項：\n1. 須注意地形的高低變化\n2. 不輕易觸碰任何不明之海洋生物
將軍岩,注意事項：\n1. 入水時禁止從航道與港口下水\n2. 因潛水船會在附近潛水，須注意與潛水船的距離避免發生危險。\n3. 請勿攜帶海洋生物回家
豆丁礁,無。
一線天,注意事項：\n1. 此處海流強勁，潛水時須注意安全\n2. 可能會發生湧升流和下降流\n3. 請勿過度的驚擾海中生物
大峽谷,注意事項：\n1. 最大深度可達35米\n2. 時常有強流發生，須注意安全\n3. 須注意保暖
仙人疊石,注意事項：\n1. 注意潮汐的變化\n2. 海邊都是尖銳礁石建議穿厚底的防滑鞋
仙掌森林,無。
大白沙,注意事項：\n1. 最大深度可達30米\n2. 踢水時要格外小心，不要踢到珊瑚\n3. 海底深度變化大，需多留意\n4. 較適合進行水肺潛水
獨立礁,注意事項：\n1. 深度大約為18米~31米\n2. 屬強流區須注意\n3. 保持良好中性浮力，不要破壞到海洋生態
教堂,注意事項：\n1. 請勿過度的驚擾海中生物\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
鋼鐵礁,注意事項：\n1. 避免潮流太強當地有設置導引繩\n2. 踢水時要格外小心，不要踢到珊瑚\n3. 不輕易觸碰任何不明之海洋生物
馬蹄橋,注意事項：\n1. 此區域海流較強\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
龜灣鼻,注意事項：\n1. 水深約15~30米\n2. 海象不定且較多礁岩，需注意
雞仔礁,注意事項：\n1. 因風浪限制，未必每個季節都可下水\n2. 請勿攜帶海洋生物回家
海底郵筒,注意事項：\n1. 需購買經過特別防水設計的海底明信片\n2. 明信片每星期會收信兩次
破沉箱,注意事項：\n1. 請勿過度的驚擾海中生物\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
大香菇,注意事項：\n1. 此區域海流較強\n2. 請勿過度的驚擾海中生物\n3. 不輕易觸碰任何不明之海洋生物
海底十字架,注意事項：\n1. 請勿過度的驚擾海中生物\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
小丑島,注意事項：\n1. 請勿攜帶海洋生物回家\n2. 請勿過度的驚擾海中生物
後花園,無。
六米礁,注意事項：\n1. 深度約18米\n2. 沿岸流比較強，建議選擇船潛進行活動\n3. 不輕易觸碰任何不明之海洋生物
斜坡花園,無。
機場外礁,注意事項：\n1. 不輕易觸碰任何不明之海洋生物\n2. 避免觸碰或破壞珊瑚礁和其他海洋生物，保護海洋環境
八代灣沉船,注意事項：\n1. 最大深度約36米\n2. 此處浪大，須注意安全\n3. 此海域海流較強
蘭恩,注意事項：\n1. 海流不穩定，需小心\n2. 岩石拱門內及後方水流較強，請勿強行穿越
漁人舊部落港灣,注意事項：\n1. 飛魚季期間禁止在這潛水\n2. 港灣斜坡濕滑，要特別注意
椰油斷層,注意事項：\n1. 飛魚季期間禁止在這潛水\n2. 須小心強勁海流\n3. 避免從部落灘頭下水
開元港藍洞,注意事項：\n1. 需先確認船舶進港時間並研擬潛水計劃\n2. 務必攜帶浮球\n3. 須小心強勁海流
椰油浮潛區,注意事項：\n1. 深度約10米\n2. 不輕易觸碰任何不明之海洋生物
玉女岩,注意事項：\n1. 請勿攜帶海洋生物回家\n2. 請勿過度的驚擾海中生物
朗島秘境,注意事項：\n1. 須注意保暖\n2. 因水較深，不適合單純玩水的遊客
母雞岩外礁,注意事項：\n1. 注意潮汐的變化\n2. 請注意並非任何地點都能下海\n3. 務必攜帶浮球
雙獅岩,注意事項：\n1. 須小心強勁海流\n2. 請勿過度的驚擾海中生物
雙獅天井,注意事項：\n1. 因為洞內狹窄，所以較有挑戰性\n2. 注意潮差
東清七號地小涼亭,注意事項：\n1. 請勿往外游超過灣口太多，容易碰上強勁海流\n2. 海邊礁岩銳利，上下岸須小心
情人洞,注意事項：\n1. 洞內水深16-22米\n2. 不建議獨自下此點
核廢料儲存場潮池,注意事項：\n1. 退潮時去較好\n2. 淺水處很多珊瑚，請勿穿蛙鞋及干擾浮潛
龍門港小香菇,注意事項：\n1. 務必攜帶浮球\n2. 請勿過度的驚擾海中生物
